Compound,median,mean,std,n
MOX+RIF,-0.004172737987575947,-0.003867944007618951,0.0019893184863684376,24
PZA+RIF,-0.003922857897995622,-0.003733460800185113,0.0011053709367419423,22
BDQ+DEL,-0.001864669208529358,-0.002201006763584333,0.0016025980140961706,20
BDQ+LIN+PRE,-0.001687810289074384,-0.0018712900835697991,0.001702902419747483,21
BDQ+PRE,-0.0014688775500729832,-0.001652327120946181,0.0015389036513304144,23
BDQ+LIN,-0.0007851891438957878,-0.001080720515748551,0.001810311565175648,22
LIN+PRE,-0.0001601512712981279,-0.00028106674461870915,0.0029181292064274986,21
INH+PZA,0.00008369975175643893,-0.00039502569593044925,0.0020402628647548846,20
EMB+INH+PZA+RIF,0.00028374839153518373,0.0002433537379398792,0.0016320830308603977,15
EMB+MOX+PZA+RIF,0.002086355542306112,0.004870093898982585,0.005417144216839849,24
