Compound,median,mean,std,n
EMB+INH+PZA+RIF,-0.003753578775916555,-0.07871960269908455,0.20203384909727679,15
BDQ+DEL,0.030603655233218893,-0.0013773153034939548,0.1729557762964867,20
INH+PZA,0.035587795881037596,0.05051983209158887,0.11962836118633627,20
BDQ+LIN+PRE,0.04997375325163779,0.0342661950900569,0.17540513994568496,21
EMB+MOX+PZA+RIF,0.05553706399742214,0.19610357980605156,0.3347137563892981,24
BDQ+PRE,0.10622172514371092,0.08229105945836057,0.08561873053232937,23
BDQ+LIN,0.11650115067799989,0.09522277946918188,0.16017550470594033,22
LIN+PRE,0.3178923091387269,0.3514858113616012,0.1766637981150992,21
MOX+RIF,0.34499194518985055,0.23516730762208507,0.23224977432784155,24
PZA+RIF,0.39911731335803013,0.24019090279456315,0.2513686895114573,22
