feature,importance
TP4_MeanHU,0.6827391838186999
TP4_MeanSUV,0.08495861293824215
TP3_MeanHU,0.06865540992895353
TP2_MeanHU,0.03165751649953758
TP2_MeanSUV,0.027684052732228796
TP3_MeanSUV,0.020848615619481536
casAUC25_dormancySimplePK_Termil,0.0031113384019211938
casAUC25_cholesterolSimplePK_Termil,0.0029604374229724806
NeutralHequip_FBC90,0.0024181823695109176
AUC25_dormancy_Termil,0.002395906175603208
casGRinf_dormancySimplePK_Constant,0.0023512445707861546
LoeweFIC90_cholesterol_Termil,0.0023314122816828218
GRinf_valerate_Termil,0.0019045614270845803
casAUC25_butyrateSimplePK_Termil,0.0017326111937736128
NeutralHcellPK_Einf,0.0015937510192388764
cellGRinf_cholesterolSimplePK_Termil,0.00158904645198826
LoeweFIC90_butyrate_Constant,0.0015799399350526352
LoeweFIC50_dormancy_Constant,0.001560063646931001
casAUC25_dormancySimplePK_Constant,0.0014909606949473151
cellAUC25_butyrateSimplePK_Constant,0.0014740424076633185
NeutralHcasPK_Einf,0.0012882194221927503
AcidicNcellPK_FBC50,0.0012699342917483676
AUC25_cholesterol_Constant,0.001240877407241364
LoeweFIC50_butyrate_Termil,0.001221420427230484
NeutralHcasPK_FBC50,0.0011528942315373106
LoeweFIC90_cholesterol_Constant,0.0011209217382987938
GRinf_dormancy_Constant,0.0011158296254143178
casGRinf_dormancySimplePK_Termil,0.0011155901950890027
NeutralHequip_AUC50,0.0011042177060621202
NeutralHequip_FBC50,0.0011008991164789968
LoeweFIC50_dormancy_Termil,0.0010831248884499067
GRinf_butyrate_Termil,0.0010580395216951417
NeutralNequip_FBC50,0.0010463949887480777
NeutralHcellPK_AUC50,0.0010190566221647745
AcidicNequip_FBC50,0.0009695842638181144
LoeweFIC90_dormancy_Constant,0.0009483778022080869
NeutralNcellPK_FBC50,0.000930954768786778
AcidicNequip_FBC90,0.0008514446785244206
NeutralHcellPK_FBC50,0.0008439902902302228
LoeweFIC50_cholesterol_Constant,0.0008400010271959708
cellGRinf_butyrateSimplePK_Termil,0.0008060607967267452
AcidicNcasPK_FBC50,0.0007975869965008958
cellAUC25_cholesterolSimplePK_Constant,0.000795916518896129
LoeweFIC50_cholesterol_Termil,0.0007740664248742409
NeutralHcellPK_FBC90,0.0007701327088021668
NeutralNequip_AUC50,0.0007662088809804668
casGRinf_butyrateSimplePK_Termil,0.0007636400498272474
casAUC25_butyrateSimplePK_Constant,0.0007446150446218751
NeutralNcasPK_FBC90,0.0007300658359265134
cellAUC25_butyrateSimplePK_Termil,0.0007252035341916214
NeutralNcasPK_Einf,0.0007226837186856344
GRinf_valerate_Constant,0.000701466957615629
NeutralNcasPK_AUC50,0.0006755207556469427
