feature,importance_mean,importance_std
TP4_MeanHU,696.8412100083027,505.3177281283015
TP3_MeanHU,189.74013927606202,109.1027106794029
TP4_MeanSUV,185.55035983583747,188.3937588607855
TP2_MeanHU,84.80303022126739,48.351571748565306
NeutralHcellPK_Einf,1.0231815394945443e-13,8.91554187851291e-14
NeutralNequip_FBC90,5.684341886080802e-14,1.1787302215297882e-13
casGRinf_butyrateSimplePK_Constant,4.5474735088646414e-14,5.5694948577710835e-14
NeutralNcellPK_AUC50,3.979039320256561e-14,1.0725194820289066e-13
NeutralNcasPK_FBC50,3.410605131648481e-14,4.547473508864641e-14
NeutralNcellPK_Einf,2.2737367544323207e-14,4.547473508864642e-14
NeutralNcasPK_AUC50,2.2737367544323207e-14,7.710616481660133e-14
LoeweFIC50_cholesterol_Constant,2.2737367544323207e-14,4.5474735088646414e-14
casGRinf_butyrateSimplePK_Termil,1.7053025658242404e-14,5.569494857771083e-14
NeutralHequip_FBC50,1.7053025658242404e-14,7.958078640513122e-14
AUC25_butyrate_Constant,5.684341886080802e-15,4.547473508864641e-14
NeutralHcellPK_AUC50,5.684341886080802e-15,1.1368683772161605e-14
AUC25_valerate_Constant,0.0,0.0
casAUC25_butyrateSimplePK_Termil,0.0,0.0
cellGRinf_cholesterolSimplePK_Constant,0.0,0.0
LoeweFIC50_valerate_Termil,0.0,0.0
GRinf_standard_ConstantTermil,0.0,0.0
NeutralHcellPK_FBC90,0.0,0.0
AcidicNcellPK_AUC50,0.0,0.0
GRinf_cholesterol_Constant,0.0,0.0
cellGRinf_dormancySimplePK_Constant,-5.684341886080802e-15,1.142538578860796e-13
cellAUC25_cholesterolSimplePK_Termil,-1.1368683772161604e-14,2.273736754432321e-14
AUC25_valerate_Termil,-1.1368683772161604e-14,2.273736754432321e-14
LoeweFIC90_valerate_Constant,-1.1368683772161604e-14,2.2737367544323207e-14
LoeweFIC90_butyrate_Constant,-1.1368683772161604e-14,2.2737367544323207e-14
LoeweFIC90_acidic_Termil,-1.1368683772161604e-14,2.273736754432321e-14
NeutralNequip_Einf,-2.2737367544323207e-14,2.7847474288855418e-14
AcidicNcellPK_Einf,-2.2737367544323207e-14,4.547473508864642e-14
casGRinf_dormancySimplePK_Constant,-2.2737367544323207e-14,2.7847474288855418e-14
NeutralNcasPK_Einf,-2.2737367544323207e-14,4.5474735088646414e-14
NeutralHcellPK_FBC50,-2.2737367544323207e-14,2.7847474288855418e-14
cellGRinf_cholesterolSimplePK_Termil,-2.2737367544323207e-14,2.7847474288855418e-14
AcidicNequip_Einf,-2.2737367544323207e-14,4.5474735088646414e-14
AcidicNcasPK_AUC50,-2.2737367544323207e-14,1.2111784003913339e-13
LoeweFIC90_acidic_Constant,-2.2737367544323207e-14,4.547473508864642e-14
casGRinf_dormancySimplePK_Termil,-2.2737367544323207e-14,4.547473508864642e-14
GRinf_dormancy_Constant,-2.2737367544323207e-14,4.547473508864642e-14
LoeweFIC50_valerate_Constant,-2.2737367544323207e-14,4.5474735088646414e-14
AUC25_cholesterol_Constant,-2.2737367544323207e-14,4.5474735088646414e-14
LoeweFIC50_dormancy_Constant,-2.2737367544323207e-14,2.7847474288855418e-14
AUC25_cholesterol_Termil,-2.2737367544323207e-14,4.547473508864642e-14
LoeweFIC50_dormancy_Termil,-2.842170943040401e-14,8.806144583576081e-14
LoeweFIC90_standard_ConstantTermil,-2.842170943040401e-14,5.684341886080802e-14
LoeweFIC50_acidic_Termil,-2.842170943040401e-14,5.684341886080802e-14
cellAUC25_dormancySimplePK_Termil,-2.842170943040401e-14,5.684341886080802e-14
AcidicNcasPK_Einf,-2.842170943040401e-14,5.684341886080802e-14
AUC25_dormancy_Termil,-3.410605131648481e-14,4.547473508864641e-14
cellAUC25_cholesterolSimplePK_Constant,-3.410605131648481e-14,8.507543922801099e-14
AcidicNequip_FBC90,-3.410605131648481e-14,4.547473508864641e-14
AUC25_standard_ConstantTermil,-3.410605131648481e-14,4.547473508864641e-14
LoeweFIC50_cholesterol_Termil,-3.410605131648481e-14,4.5474735088646414e-14
AcidicNequip_AUC50,-3.410605131648481e-14,4.547473508864641e-14
cellAUC25_butyrateSimplePK_Constant,-3.410605131648481e-14,7.710616481660131e-14
AUC25_acidic_Termil,-3.410605131648481e-14,4.547473508864641e-14
LoeweFIC50_butyrate_Constant,-3.410605131648481e-14,4.5474735088646414e-14
GRinf_butyrate_Termil,-3.410605131648481e-14,2.7847474288855418e-14
GRinf_valerate_Constant,-3.410605131648481e-14,8.315475291924368e-14
LoeweFIC90_dormancy_Termil,-3.410605131648481e-14,7.498161925396356e-14
LoeweFIC90_dormancy_Constant,-3.410605131648481e-14,4.547473508864641e-14
LoeweFIC90_valerate_Termil,-3.410605131648481e-14,4.547473508864641e-14
cellGRinf_dormancySimplePK_Termil,-3.410605131648481e-14,4.547473508864641e-14
GRinf_butyrate_Constant,-3.979039320256561e-14,5.5694948577710835e-14
NeutralNequip_FBC50,-3.979039320256561e-14,1.4108165539699777e-13
AUC25_dormancy_Constant,-3.979039320256561e-14,1.0725194820289066e-13
GRinf_acidic_Termil,-3.979039320256561e-14,5.569494857771083e-14
NeutralHcasPK_Einf,-3.979039320256561e-14,1.0419570787589329e-13
GRinf_cholesterol_Termil,-3.979039320256561e-14,5.569494857771083e-14
LoeweFIC50_butyrate_Termil,-3.979039320256561e-14,5.569494857771083e-14
AUC25_acidic_Constant,-3.979039320256561e-14,7.958078640513122e-14
casAUC25_cholesterolSimplePK_Termil,-3.979039320256561e-14,5.569494857771083e-14
casAUC25_dormancySimplePK_Constant,-3.979039320256561e-14,5.5694948577710835e-14
GRinf_valerate_Termil,-4.5474735088646414e-14,5.5694948577710835e-14
NeutralHcasPK_FBC90,-4.5474735088646414e-14,4.25377196140055e-14
NeutralHcasPK_FBC50,-4.5474735088646414e-14,4.25377196140055e-14
LoeweFIC90_butyrate_Termil,-4.5474735088646414e-14,5.5694948577710835e-14
casAUC25_cholesterolSimplePK_Constant,-4.5474735088646414e-14,1.2531363429984938e-13
GRinf_acidic_Constant,-4.5474735088646414e-14,5.5694948577710835e-14
casAUC25_dormancySimplePK_Termil,-4.5474735088646414e-14,5.5694948577710835e-14
AUC25_butyrate_Termil,-4.5474735088646414e-14,5.5694948577710835e-14
GRinf_dormancy_Termil,-4.5474735088646414e-14,5.5694948577710835e-14
NeutralNcellPK_FBC50,-4.5474735088646414e-14,4.25377196140055e-14
NeutralHequip_AUC50,-4.5474735088646414e-14,5.5694948577710835e-14
casGRinf_cholesterolSimplePK_Constant,-5.1159076974727215e-14,6.329815235892536e-14
NeutralNequip_AUC50,-5.1159076974727215e-14,5.2097853937946644e-14
LoeweFIC50_standard_ConstantTermil,-5.1159076974727215e-14,6.329815235892536e-14
NeutralNcellPK_FBC90,-5.1159076974727215e-14,5.2097853937946644e-14
NeutralNcasPK_FBC90,-5.684341886080802e-14,5.084229945850415e-14
LoeweFIC90_cholesterol_Termil,-5.684341886080802e-14,5.084229945850415e-14
NeutralHcasPK_AUC50,-5.684341886080802e-14,5.084229945850415e-14
cellAUC25_dormancySimplePK_Constant,-5.684341886080802e-14,7.835324568128625e-14
LoeweFIC90_cholesterol_Constant,-5.684341886080802e-14,6.961868572213853e-14
NeutralHequip_Einf,-5.684341886080802e-14,5.084229945850415e-14
AcidicNcasPK_FBC90,-5.684341886080802e-14,1.3451608044987588e-13
cellGRinf_butyrateSimplePK_Constant,-5.684341886080802e-14,5.084229945850415e-14
NeutralHequip_FBC90,-6.252776074688882e-14,5.796914039811765e-14
LoeweFIC50_acidic_Constant,-6.252776074688882e-14,8.118864148562863e-14
AcidicNcellPK_FBC50,-6.821210263296962e-14,8.545439628945193e-14
AcidicNequip_FBC50,-6.821210263296962e-14,6.380657942100825e-14
cellAUC25_butyrateSimplePK_Termil,-7.389644451905042e-14,7.541131686492463e-14
cellGRinf_butyrateSimplePK_Termil,-7.389644451905042e-14,6.122223575328581e-14
AcidicNcellPK_FBC90,-7.389644451905042e-14,6.12222357532858e-14
casAUC25_butyrateSimplePK_Constant,-7.958078640513122e-14,5.5111739327643697e-14
casGRinf_cholesterolSimplePK_Termil,-7.958078640513122e-14,4.5474735088646414e-14
AcidicNcasPK_FBC50,-8.526512829121202e-14,1.1080822269842614e-13
TP3_MeanSUV,-10.99112336684139,14.031815013899655
TP2_MeanSUV,-15.117110649799674,26.763782387107895
