sample_id,feature_name,feature_value,shap_value
73,LoeweFIC90_cholesterol_Constant,0.702125724,-0.0018082798490456067
74,LoeweFIC90_cholesterol_Constant,0.702125724,-0.0005052081177688897
75,LoeweFIC90_cholesterol_Constant,0.702125724,0.0006569393134023016
76,LoeweFIC90_cholesterol_Constant,0.702125724,0.0018149423839727715
77,LoeweFIC90_cholesterol_Constant,0.702125724,-0.0005462573498576007
78,LoeweFIC90_cholesterol_Constant,0.702125724,-0.002106399649224666
79,LoeweFIC90_cholesterol_Constant,0.702125724,-0.0004964773291351819
80,LoeweFIC90_cholesterol_Constant,0.702125724,-0.00017327320841551468
81,LoeweFIC90_cholesterol_Constant,0.702125724,-0.0015077054293774
82,LoeweFIC90_cholesterol_Constant,0.702125724,-0.00020463437805717991
83,LoeweFIC90_cholesterol_Constant,0.702125724,-0.0004109470240584586
84,LoeweFIC90_cholesterol_Constant,0.702125724,-0.0011002261191517266
85,LoeweFIC90_cholesterol_Constant,0.702125724,-0.0009497458203092996
86,LoeweFIC90_cholesterol_Constant,0.333298183,-0.0024357368298966197
87,LoeweFIC90_cholesterol_Constant,0.333298183,-0.0023354507219473433
88,LoeweFIC90_cholesterol_Constant,0.333298183,0.0006035501494390652
89,LoeweFIC90_cholesterol_Constant,0.333298183,0.0006238239366731243
90,LoeweFIC90_cholesterol_Constant,0.333298183,-0.0012379385637972548
91,LoeweFIC90_cholesterol_Constant,0.333298183,-0.0020790473502425417
92,LoeweFIC90_cholesterol_Constant,0.333298183,-4.9633576440184964e-05
93,LoeweFIC90_cholesterol_Constant,0.333298183,-0.0014163425959831722
94,LoeweFIC90_cholesterol_Constant,0.333298183,0.0039523888294257055
95,LoeweFIC90_cholesterol_Constant,0.333298183,-0.0013452381521244176
96,LoeweFIC90_cholesterol_Constant,0.333298183,-0.0006251919145079556
97,LoeweFIC90_cholesterol_Constant,0.333298183,-6.144450323681846e-05
98,LoeweFIC90_cholesterol_Constant,0.333298183,-0.00021674958143310413
99,LoeweFIC90_cholesterol_Constant,0.333298183,0.0016837532584821396
100,LoeweFIC90_cholesterol_Constant,0.333298183,0.004448804999843266
101,LoeweFIC90_cholesterol_Constant,0.047712998,0.0008362851228316105
102,LoeweFIC90_cholesterol_Constant,0.047712998,0.005342669142489164
103,LoeweFIC90_cholesterol_Constant,0.047712998,-0.00032729952600164884
104,LoeweFIC90_cholesterol_Constant,0.047712998,0.0053062586362830925
105,LoeweFIC90_cholesterol_Constant,0.047712998,0.000990916167124819
106,LoeweFIC90_cholesterol_Constant,0.047712998,0.002666060622889825
107,LoeweFIC90_cholesterol_Constant,0.047712998,0.001235423173051811
108,LoeweFIC90_cholesterol_Constant,0.047712998,0.0012006806438662272
109,LoeweFIC90_cholesterol_Constant,0.047712998,2.8227562232457482e-05
110,LoeweFIC90_cholesterol_Constant,0.047712998,0.0006325692945381292
111,LoeweFIC90_cholesterol_Constant,0.047712998,0.0018348628493974936
112,LoeweFIC90_cholesterol_Constant,0.047712998,0.0027687698714764122
113,LoeweFIC90_cholesterol_Constant,0.047712998,0.002717983224492668
114,LoeweFIC90_cholesterol_Constant,0.047712998,0.0018029286949028914
115,LoeweFIC90_cholesterol_Constant,0.047712998,0.001199411329865056
116,LoeweFIC90_cholesterol_Constant,0.047712998,0.0011172536999845774
117,LoeweFIC90_cholesterol_Constant,0.047712998,0.0005173675126436874
118,LoeweFIC90_cholesterol_Constant,0.047712998,0.001060011029578869
119,LoeweFIC90_cholesterol_Constant,0.047712998,0.0031378122641993983
120,LoeweFIC90_cholesterol_Constant,0.047712998,0.004088010413322408
121,LoeweFIC90_cholesterol_Constant,0.047712998,0.0015528025730693446
122,LoeweFIC90_cholesterol_Constant,0.047712998,0.0009225729954187465
123,LoeweFIC90_cholesterol_Constant,0.047712998,0.00046285687052129805
124,LoeweFIC90_cholesterol_Constant,0.047712998,0.0016116785686212873
125,LoeweFIC90_cholesterol_Constant,-0.532283179,0.002667234120701901
126,LoeweFIC90_cholesterol_Constant,-0.532283179,0.00021188389990368074
127,LoeweFIC90_cholesterol_Constant,-0.532283179,-0.000206964733738245
128,LoeweFIC90_cholesterol_Constant,-0.532283179,7.337937085747144e-05
129,LoeweFIC90_cholesterol_Constant,-0.532283179,0.0002624884052988791
130,LoeweFIC90_cholesterol_Constant,-0.532283179,-0.0016241685300845716
131,LoeweFIC90_cholesterol_Constant,-0.532283179,-0.0010590611431599102
132,LoeweFIC90_cholesterol_Constant,-0.532283179,0.0007083349506817548
133,LoeweFIC90_cholesterol_Constant,-0.532283179,0.0033650529245116147
134,LoeweFIC90_cholesterol_Constant,-0.532283179,-0.0001518352128466678
135,LoeweFIC90_cholesterol_Constant,-0.532283179,-3.7970320144090925e-06
136,LoeweFIC90_cholesterol_Constant,-0.532283179,-0.0008452734516869078
137,LoeweFIC90_cholesterol_Constant,-0.532283179,0.0005338115774281859
138,LoeweFIC90_cholesterol_Constant,-0.532283179,0.001278834308565737
139,LoeweFIC90_cholesterol_Constant,-0.532283179,0.000586540071757741
140,LoeweFIC90_cholesterol_Constant,-0.532283179,-0.0004353341072423668
141,LoeweFIC90_cholesterol_Constant,-0.532283179,0.00046140902480584626
142,LoeweFIC90_cholesterol_Constant,-0.532283179,-0.0006381368624216213
143,LoeweFIC90_cholesterol_Constant,-0.532283179,-3.87142802899377e-06
144,LoeweFIC90_cholesterol_Constant,-0.532283179,-0.0005536614635249751
145,LoeweFIC90_cholesterol_Constant,-0.60696751,0.0019605160496774226
146,LoeweFIC90_cholesterol_Constant,-0.60696751,0.0010332851153925771
147,LoeweFIC90_cholesterol_Constant,-0.60696751,-0.000938058610808459
148,LoeweFIC90_cholesterol_Constant,-0.60696751,-4.128342896460865e-05
149,LoeweFIC90_cholesterol_Constant,-0.60696751,0.0003261998248080366
150,LoeweFIC90_cholesterol_Constant,-0.60696751,0.0021093680434042293
151,LoeweFIC90_cholesterol_Constant,-0.60696751,0.003539105694238612
152,LoeweFIC90_cholesterol_Constant,-0.60696751,0.004019332488844888
153,LoeweFIC90_cholesterol_Constant,-0.60696751,0.0024543755222605156
154,LoeweFIC90_cholesterol_Constant,-0.60696751,-0.0008264889661127719
155,LoeweFIC90_cholesterol_Constant,-0.60696751,-0.00011464145892232502
156,LoeweFIC90_cholesterol_Constant,-0.60696751,0.0019793977782336177
157,LoeweFIC90_cholesterol_Constant,-0.60696751,0.005941070275484312
158,LoeweFIC90_cholesterol_Constant,-0.60696751,0.0013926834258391205
159,LoeweFIC90_cholesterol_Constant,-0.60696751,-0.0003527495217968313
160,LoeweFIC90_cholesterol_Constant,-0.60696751,0.0014731762752790232
161,LoeweFIC90_cholesterol_Constant,-0.60696751,0.000725470663942128
162,LoeweFIC90_cholesterol_Constant,-0.60696751,0.0013241196902444544
163,LoeweFIC90_cholesterol_Constant,-0.60696751,-0.0002890887424551844
164,LoeweFIC90_cholesterol_Constant,-0.60696751,0.0012629653790828552
165,LoeweFIC90_cholesterol_Constant,-0.60696751,0.0016083836833814752
166,LoeweFIC90_cholesterol_Constant,0.05678938,-0.003596794060147003
167,LoeweFIC90_cholesterol_Constant,0.05678938,-0.0025229194323141933
168,LoeweFIC90_cholesterol_Constant,0.05678938,0.0011287121985215345
169,LoeweFIC90_cholesterol_Constant,0.05678938,-0.001996444659181547
170,LoeweFIC90_cholesterol_Constant,0.05678938,-0.0003659327668834571
171,LoeweFIC90_cholesterol_Constant,0.05678938,-0.0014050693867452735
172,LoeweFIC90_cholesterol_Constant,0.05678938,3.570810939360976e-05
173,LoeweFIC90_cholesterol_Constant,0.05678938,-0.00015259713159426668
174,LoeweFIC90_cholesterol_Constant,0.05678938,-0.0014370179430918213
175,LoeweFIC90_cholesterol_Constant,0.05678938,-0.0006502437745059602
176,LoeweFIC90_cholesterol_Constant,0.05678938,-0.0024136241295703315
177,LoeweFIC90_cholesterol_Constant,0.05678938,-0.006892917385422982
178,LoeweFIC90_cholesterol_Constant,0.05678938,-0.0033746760863934684
179,LoeweFIC90_cholesterol_Constant,0.05678938,-0.00116458742934807
180,LoeweFIC90_cholesterol_Constant,0.05678938,-0.0038316612316606513
181,LoeweFIC90_cholesterol_Constant,0.05678938,-0.001760497086628647
182,LoeweFIC90_cholesterol_Constant,0.05678938,-0.001016793012441533
183,LoeweFIC90_cholesterol_Constant,0.05678938,-0.0025571709274488366
184,LoeweFIC90_cholesterol_Constant,0.05678938,-0.0022013066463052633
185,LoeweFIC90_cholesterol_Constant,0.05678938,-0.0025026338349305095
186,LoeweFIC90_cholesterol_Constant,0.05678938,-0.005667083627183502
187,LoeweFIC90_cholesterol_Constant,0.05678938,-0.0002509800496215891
188,LoeweFIC90_cholesterol_Constant,0.05678938,-0.0024769923491271806
189,LoeweFIC90_cholesterol_Constant,0.05678938,-0.002995258939482632
190,LoeweFIC90_cholesterol_Constant,-0.759756292,0.0008544418639157762
191,LoeweFIC90_cholesterol_Constant,-0.759756292,0.0019874672585237898
192,LoeweFIC90_cholesterol_Constant,-0.759756292,-0.0010481114874289355
193,LoeweFIC90_cholesterol_Constant,-0.759756292,0.0003804426665060596
194,LoeweFIC90_cholesterol_Constant,-0.759756292,0.0004514410634732171
195,LoeweFIC90_cholesterol_Constant,-0.759756292,0.0003111891760366349
196,LoeweFIC90_cholesterol_Constant,-0.759756292,0.00011757715802323663
197,LoeweFIC90_cholesterol_Constant,-0.759756292,-0.0006862841200552703
198,LoeweFIC90_cholesterol_Constant,-0.759756292,-0.003072612846422584
199,LoeweFIC90_cholesterol_Constant,-0.759756292,-0.0016921824168121284
200,LoeweFIC90_cholesterol_Constant,-0.759756292,-0.0003224807396015481
201,LoeweFIC90_cholesterol_Constant,-0.759756292,0.0006331290546763041
202,LoeweFIC90_cholesterol_Constant,-0.759756292,0.0006797195758531233
203,LoeweFIC90_cholesterol_Constant,-0.759756292,-0.00220442235588431
204,LoeweFIC90_cholesterol_Constant,-0.759756292,0.0010608014767354724
205,LoeweFIC90_cholesterol_Constant,-0.759756292,-0.00017243619081272978
206,LoeweFIC90_cholesterol_Constant,-0.759756292,-0.0034793859510041324
207,LoeweFIC90_cholesterol_Constant,-0.759756292,-0.0004631981409173985
208,LoeweFIC90_cholesterol_Constant,-0.759756292,-0.0007944613957685257
209,LoeweFIC90_cholesterol_Constant,-0.759756292,0.0010999519625627242
210,LoeweFIC90_cholesterol_Constant,-0.759756292,-0.000524836038053871
211,LoeweFIC90_cholesterol_Constant,-0.759756292,-0.000692929922249475
