feature,importance_mean,importance_std
TP2_MeanHU,1578.4795019507023,496.74813995582184
TP2_MeanSUV,10.284612932686764,214.10044520383872
LoeweFIC50_butyrate_Constant,6.821210263296962e-14,1.3642420526593926e-13
NeutralHequip_FBC90,6.821210263296962e-14,1.3642420526593923e-13
NeutralHcellPK_FBC50,0.0,0.0
NeutralHequip_Einf,0.0,0.0
AcidicNequip_FBC50,0.0,0.0
AcidicNequip_AUC50,0.0,0.0
AcidicNequip_Einf,0.0,0.0
cellGRinf_cholesterolSimplePK_Termil,0.0,0.0
cellGRinf_cholesterolSimplePK_Constant,0.0,0.0
cellGRinf_butyrateSimplePK_Termil,0.0,0.0
cellGRinf_butyrateSimplePK_Constant,0.0,0.0
cellAUC25_dormancySimplePK_Termil,0.0,0.0
cellAUC25_dormancySimplePK_Constant,0.0,0.0
cellAUC25_cholesterolSimplePK_Constant,0.0,0.0
cellAUC25_butyrateSimplePK_Termil,0.0,0.0
casGRinf_dormancySimplePK_Constant,0.0,0.0
casGRinf_cholesterolSimplePK_Termil,0.0,0.0
NeutralNcellPK_AUC50,0.0,0.0
casGRinf_butyrateSimplePK_Constant,0.0,0.0
casAUC25_dormancySimplePK_Termil,0.0,0.0
casAUC25_dormancySimplePK_Constant,0.0,0.0
AcidicNequip_FBC90,0.0,0.0
NeutralHcellPK_FBC90,0.0,0.0
NeutralHcellPK_AUC50,0.0,0.0
NeutralHequip_FBC50,0.0,0.0
NeutralHcellPK_Einf,0.0,0.0
AcidicNcellPK_FBC90,0.0,0.0
AcidicNcellPK_FBC50,0.0,0.0
AcidicNcellPK_AUC50,0.0,0.0
NeutralNcasPK_FBC90,0.0,0.0
NeutralNcasPK_FBC50,0.0,0.0
NeutralNcasPK_AUC50,0.0,0.0
NeutralHcasPK_FBC50,0.0,0.0
NeutralHcasPK_AUC50,0.0,0.0
NeutralHcasPK_Einf,0.0,0.0
AcidicNcasPK_FBC50,0.0,0.0
AcidicNcasPK_AUC50,0.0,0.0
AcidicNcasPK_Einf,0.0,0.0
NeutralNequip_FBC50,0.0,0.0
NeutralNequip_AUC50,0.0,0.0
NeutralNequip_Einf,0.0,0.0
casAUC25_butyrateSimplePK_Constant,0.0,0.0
casAUC25_cholesterolSimplePK_Constant,0.0,0.0
casGRinf_butyrateSimplePK_Termil,0.0,0.0
GRinf_dormancy_Termil,0.0,0.0
LoeweFIC50_dormancy_Constant,0.0,0.0
LoeweFIC50_cholesterol_Termil,0.0,0.0
LoeweFIC50_valerate_Termil,0.0,0.0
GRinf_dormancy_Constant,0.0,0.0
GRinf_acidic_Termil,0.0,0.0
GRinf_cholesterol_Termil,0.0,0.0
GRinf_cholesterol_Constant,0.0,0.0
GRinf_butyrate_Termil,0.0,0.0
GRinf_butyrate_Constant,0.0,0.0
AUC25_standard_ConstantTermil,0.0,0.0
AUC25_acidic_Termil,0.0,0.0
AUC25_cholesterol_Termil,0.0,0.0
AUC25_cholesterol_Constant,0.0,0.0
AUC25_valerate_Constant,0.0,0.0
AUC25_butyrate_Termil,0.0,0.0
AUC25_butyrate_Constant,0.0,0.0
LoeweFIC50_standard_ConstantTermil,0.0,0.0
NeutralNcellPK_FBC90,0.0,0.0
LoeweFIC90_butyrate_Termil,0.0,0.0
LoeweFIC90_dormancy_Constant,0.0,0.0
LoeweFIC90_butyrate_Constant,0.0,0.0
LoeweFIC90_acidic_Termil,0.0,0.0
LoeweFIC90_valerate_Constant,0.0,0.0
LoeweFIC90_cholesterol_Termil,0.0,0.0
NeutralHcasPK_FBC90,-2.2737367544323207e-14,4.547473508864642e-14
GRinf_acidic_Constant,-2.2737367544323207e-14,4.547473508864642e-14
LoeweFIC50_dormancy_Termil,-4.5474735088646414e-14,9.094947017729284e-14
AUC25_dormancy_Termil,-4.5474735088646414e-14,9.094947017729283e-14
AUC25_dormancy_Constant,-4.5474735088646414e-14,9.094947017729284e-14
AcidicNcellPK_Einf,-4.5474735088646414e-14,9.094947017729283e-14
AUC25_acidic_Constant,-4.5474735088646414e-14,9.094947017729284e-14
LoeweFIC90_valerate_Termil,-4.5474735088646414e-14,9.094947017729284e-14
