timepoint,output,mse,mae,r2
3,TP3_MeanHU,2554.827480688365,42.12779476753629,0.5730536145122647
3,TP3_MeanSUV,0.6341758851566929,0.5531136859609509,0.25789091669784125
4,TP4_MeanHU,1762.9582377963304,34.716739841198596,0.7202830220989132
4,TP4_MeanSUV,0.33205214611317496,0.4440113982988725,0.5391112776686917
5,TP5_MeanHU,1441.116056298268,29.123100665185827,0.8158522606932038
5,TP5_MeanSUV,0.22777071179194197,0.36335545141959164,0.5941894206394658
6,TP6_MeanHU,2076.5122499373365,35.707914315650605,0.8060229565262483
6,TP6_MeanSUV,0.4344670633136543,0.4430815780547983,0.3778229127839571
