TP1_MeanHU,TP2_MeanHU,TP3_MeanHU,TP4_MeanHU,TP5_MeanHU,TP6_MeanHU,TP1_MeanSUV,TP2_MeanSUV,TP3_MeanSUV,TP4_MeanSUV,TP5_MeanSUV,TP6_MeanSUV,Compound,Lesion,AUC25_butyrate_Constant,AUC25_butyrate_Termil,AUC25_valerate_Constant,AUC25_valerate_Termil,AUC25_cholesterol_Constant,AUC25_cholesterol_Termil,AUC25_acidic_Constant,AUC25_acidic_Termil,AUC25_standard_ConstantTermil,AUC25_dormancy_Constant,AUC25_dormancy_Termil,GRinf_butyrate_Constant,GRinf_butyrate_Termil,GRinf_valerate_Constant,GRinf_valerate_Termil,GRinf_cholesterol_Constant,GRinf_cholesterol_Termil,GRinf_acidic_Constant,GRinf_acidic_Termil,GRinf_standard_ConstantTermil,GRinf_dormancy_Constant,GRinf_dormancy_Termil,LoeweFIC50_butyrate_Constant,LoeweFIC50_butyrate_Termil,LoeweFIC50_valerate_Constant,LoeweFIC50_valerate_Termil,LoeweFIC50_cholesterol_Constant,LoeweFIC50_cholesterol_Termil,LoeweFIC50_acidic_Constant,LoeweFIC50_acidic_Termil,LoeweFIC50_standard_ConstantTermil,LoeweFIC50_dormancy_Constant,LoeweFIC50_dormancy_Termil,LoeweFIC90_butyrate_Constant,LoeweFIC90_butyrate_Termil,LoeweFIC90_valerate_Constant,LoeweFIC90_valerate_Termil,LoeweFIC90_cholesterol_Constant,LoeweFIC90_cholesterol_Termil,LoeweFIC90_acidic_Constant,LoeweFIC90_acidic_Termil,LoeweFIC90_standard_ConstantTermil,LoeweFIC90_dormancy_Constant,LoeweFIC90_dormancy_Termil,casAUC25_butyrateSimplePK_Constant,casAUC25_butyrateSimplePK_Termil,casAUC25_cholesterolSimplePK_Constant,casAUC25_cholesterolSimplePK_Termil,casAUC25_dormancySimplePK_Constant,casAUC25_dormancySimplePK_Termil,casGRinf_butyrateSimplePK_Constant,casGRinf_butyrateSimplePK_Termil,casGRinf_cholesterolSimplePK_Constant,casGRinf_cholesterolSimplePK_Termil,casGRinf_dormancySimplePK_Constant,casGRinf_dormancySimplePK_Termil,cellAUC25_butyrateSimplePK_Constant,cellAUC25_butyrateSimplePK_Termil,cellAUC25_cholesterolSimplePK_Constant,cellAUC25_cholesterolSimplePK_Termil,cellAUC25_dormancySimplePK_Constant,cellAUC25_dormancySimplePK_Termil,cellGRinf_butyrateSimplePK_Constant,cellGRinf_butyrateSimplePK_Termil,cellGRinf_cholesterolSimplePK_Constant,cellGRinf_cholesterolSimplePK_Termil,cellGRinf_dormancySimplePK_Constant,cellGRinf_dormancySimplePK_Termil,AcidicNequip_Einf,AcidicNequip_AUC50,AcidicNequip_FBC50,AcidicNequip_FBC90,NeutralHequip_Einf,NeutralHequip_AUC50,NeutralHequip_FBC50,NeutralHequip_FBC90,NeutralNequip_Einf,NeutralNequip_AUC50,NeutralNequip_FBC50,NeutralNequip_FBC90,AcidicNcasPK_Einf,AcidicNcasPK_AUC50,AcidicNcasPK_FBC50,AcidicNcasPK_FBC90,NeutralHcasPK_Einf,NeutralHcasPK_AUC50,NeutralHcasPK_FBC50,NeutralHcasPK_FBC90,NeutralNcasPK_Einf,NeutralNcasPK_AUC50,NeutralNcasPK_FBC50,NeutralNcasPK_FBC90,AcidicNcellPK_Einf,AcidicNcellPK_AUC50,AcidicNcellPK_FBC50,AcidicNcellPK_FBC90,NeutralHcellPK_Einf,NeutralHcellPK_AUC50,NeutralHcellPK_FBC50,NeutralHcellPK_FBC90,NeutralNcellPK_Einf,NeutralNcellPK_AUC50,NeutralNcellPK_FBC50,NeutralNcellPK_FBC90
-208.52,-76.17,-77.45,-132.62,-162.28,-210.28,1.31,4.1,1.93,1.41,1.13,0.89,BDQ+DEL,1,0.066738245,0.054897507,0.129540288,0.103106057,0.047607266,0.077539015,0.116972635,0.075398735,0.062446104,0.064241929,0.096081323,-0.024765653,-0.025646494,-0.102944355,-0.139567566,-0.867823017,-0.719430601,-0.349288873,-0.267151859,0.037952754,0.336276107,0.226721692,-0.189892589,-0.391838993,0.113831583,-0.12889138,0.193836888,-0.117843217,0.629486401,0.522360516,-0.047331117,0.324835689,0.939171867,-1.178440151,-0.888690772,-0.319322694,0.074107138,0.088213263,0.477301199,,-0.043878673,-0.313991862,0.336870825,-0.061218301,0.0384097,0.026120058,,0.028008047,0.121114471,0.02996368,-0.064198707,-0.069739397,,-0.936064123,-0.026162858,0.05918336,0.073997712,0.05208999,,0.026018368,0.072378709,0.042489381,-0.12866464,-0.114859987,,-1.0,0.055436756,0.083823009,0.99894653,0.11447463,-0.06542945,0.244341006,0.993185276,0.10888519,-0.583278238,-0.129190935,0.999999189,0.062011864,-0.392537739,-0.805366727,0.997028648,0.092845489,0.345736366,-0.03117601,0.999998643,0.062280254,-0.554563211,-0.230781627,0.999404104,0.06192135,0.07732708,-1.118329222,0.998587248,0.106440583,-0.284940719,-0.674125874,0.994633257,0.089510204,-1.013238678,-1.021436971,0.99861594,0.06195261,-0.84893296,-1.397943855
-278.8,-19.58,-5.36,-47.47,-66.73,-147.61,1.19,5.02,4.24,3.26,3.24,2.07,BDQ+DEL,1,0.066738245,0.054897507,0.129540288,0.103106057,0.047607266,0.077539015,0.116972635,0.075398735,0.062446104,0.064241929,0.096081323,-0.024765653,-0.025646494,-0.102944355,-0.139567566,-0.867823017,-0.719430601,-0.349288873,-0.267151859,0.037952754,0.336276107,0.226721692,-0.189892589,-0.391838993,0.113831583,-0.12889138,0.193836888,-0.117843217,0.629486401,0.522360516,-0.047331117,0.324835689,0.939171867,-1.178440151,-0.888690772,-0.319322694,0.074107138,0.088213263,0.477301199,,-0.043878673,-0.313991862,0.336870825,-0.061218301,0.0384097,0.026120058,,0.028008047,0.121114471,0.02996368,-0.064198707,-0.069739397,,-0.936064123,-0.026162858,0.05918336,0.073997712,0.05208999,,0.026018368,0.072378709,0.042489381,-0.12866464,-0.114859987,,-1.0,0.055436756,0.083823009,0.99894653,0.11447463,-0.06542945,0.244341006,0.993185276,0.10888519,-0.583278238,-0.129190935,0.999999189,0.062011864,-0.392537739,-0.805366727,0.997028648,0.092845489,0.345736366,-0.03117601,0.999998643,0.062280254,-0.554563211,-0.230781627,0.999404104,0.06192135,0.07732708,-1.118329222,0.998587248,0.106440583,-0.284940719,-0.674125874,0.994633257,0.089510204,-1.013238678,-1.021436971,0.99861594,0.06195261,-0.84893296,-1.397943855
-137.5,-68.46,-66.93,-138.0,-182.86,-284.63,1.9,2.68,1.99,1.5,1.38,0.67,BDQ+DEL,1,0.066738245,0.054897507,0.129540288,0.103106057,0.047607266,0.077539015,0.116972635,0.075398735,0.062446104,0.064241929,0.096081323,-0.024765653,-0.025646494,-0.102944355,-0.139567566,-0.867823017,-0.719430601,-0.349288873,-0.267151859,0.037952754,0.336276107,0.226721692,-0.189892589,-0.391838993,0.113831583,-0.12889138,0.193836888,-0.117843217,0.629486401,0.522360516,-0.047331117,0.324835689,0.939171867,-1.178440151,-0.888690772,-0.319322694,0.074107138,0.088213263,0.477301199,,-0.043878673,-0.313991862,0.336870825,-0.061218301,0.0384097,0.026120058,,0.028008047,0.121114471,0.02996368,-0.064198707,-0.069739397,,-0.936064123,-0.026162858,0.05918336,0.073997712,0.05208999,,0.026018368,0.072378709,0.042489381,-0.12866464,-0.114859987,,-1.0,0.055436756,0.083823009,0.99894653,0.11447463,-0.06542945,0.244341006,0.993185276,0.10888519,-0.583278238,-0.129190935,0.999999189,0.062011864,-0.392537739,-0.805366727,0.997028648,0.092845489,0.345736366,-0.03117601,0.999998643,0.062280254,-0.554563211,-0.230781627,0.999404104,0.06192135,0.07732708,-1.118329222,0.998587248,0.106440583,-0.284940719,-0.674125874,0.994633257,0.089510204,-1.013238678,-1.021436971,0.99861594,0.06195261,-0.84893296,-1.397943855
-316.78,-122.14,-162.77,-173.3,-204.56,-198.55,0.67,2.2,1.2,1.19,0.86,0.85,BDQ+DEL,2,0.066738245,0.054897507,0.129540288,0.103106057,0.047607266,0.077539015,0.116972635,0.075398735,0.062446104,0.064241929,0.096081323,-0.024765653,-0.025646494,-0.102944355,-0.139567566,-0.867823017,-0.719430601,-0.349288873,-0.267151859,0.037952754,0.336276107,0.226721692,-0.189892589,-0.391838993,0.113831583,-0.12889138,0.193836888,-0.117843217,0.629486401,0.522360516,-0.047331117,0.324835689,0.939171867,-1.178440151,-0.888690772,-0.319322694,0.074107138,0.088213263,0.477301199,,-0.043878673,-0.313991862,0.336870825,-0.061218301,0.0384097,0.026120058,,0.028008047,0.121114471,0.02996368,-0.064198707,-0.069739397,,-0.936064123,-0.026162858,0.05918336,0.073997712,0.05208999,,0.026018368,0.072378709,0.042489381,-0.12866464,-0.114859987,,-1.0,0.055436756,0.083823009,0.99894653,0.11447463,-0.06542945,0.244341006,0.993185276,0.10888519,-0.583278238,-0.129190935,0.999999189,0.062011864,-0.392537739,-0.805366727,0.997028648,0.092845489,0.345736366,-0.03117601,0.999998643,0.062280254,-0.554563211,-0.230781627,0.999404104,0.06192135,0.07732708,-1.118329222,0.998587248,0.106440583,-0.284940719,-0.674125874,0.994633257,0.089510204,-1.013238678,-1.021436971,0.99861594,0.06195261,-0.84893296,-1.397943855
-219.1,-91.42,-84.93,-124.59,-149.81,-199.0,0.92,2.95,1.87,1.19,1.14,0.83,BDQ+DEL,2,0.066738245,0.054897507,0.129540288,0.103106057,0.047607266,0.077539015,0.116972635,0.075398735,0.062446104,0.064241929,0.096081323,-0.024765653,-0.025646494,-0.102944355,-0.139567566,-0.867823017,-0.719430601,-0.349288873,-0.267151859,0.037952754,0.336276107,0.226721692,-0.189892589,-0.391838993,0.113831583,-0.12889138,0.193836888,-0.117843217,0.629486401,0.522360516,-0.047331117,0.324835689,0.939171867,-1.178440151,-0.888690772,-0.319322694,0.074107138,0.088213263,0.477301199,,-0.043878673,-0.313991862,0.336870825,-0.061218301,0.0384097,0.026120058,,0.028008047,0.121114471,0.02996368,-0.064198707,-0.069739397,,-0.936064123,-0.026162858,0.05918336,0.073997712,0.05208999,,0.026018368,0.072378709,0.042489381,-0.12866464,-0.114859987,,-1.0,0.055436756,0.083823009,0.99894653,0.11447463,-0.06542945,0.244341006,0.993185276,0.10888519,-0.583278238,-0.129190935,0.999999189,0.062011864,-0.392537739,-0.805366727,0.997028648,0.092845489,0.345736366,-0.03117601,0.999998643,0.062280254,-0.554563211,-0.230781627,0.999404104,0.06192135,0.07732708,-1.118329222,0.998587248,0.106440583,-0.284940719,-0.674125874,0.994633257,0.089510204,-1.013238678,-1.021436971,0.99861594,0.06195261,-0.84893296,-1.397943855
-266.68,-102.94,-47.68,-79.89,-133.1,-167.97,0.61,4.19,3.91,3.24,2.63,1.69,BDQ+DEL,2,0.066738245,0.054897507,0.129540288,0.103106057,0.047607266,0.077539015,0.116972635,0.075398735,0.062446104,0.064241929,0.096081323,-0.024765653,-0.025646494,-0.102944355,-0.139567566,-0.867823017,-0.719430601,-0.349288873,-0.267151859,0.037952754,0.336276107,0.226721692,-0.189892589,-0.391838993,0.113831583,-0.12889138,0.193836888,-0.117843217,0.629486401,0.522360516,-0.047331117,0.324835689,0.939171867,-1.178440151,-0.888690772,-0.319322694,0.074107138,0.088213263,0.477301199,,-0.043878673,-0.313991862,0.336870825,-0.061218301,0.0384097,0.026120058,,0.028008047,0.121114471,0.02996368,-0.064198707,-0.069739397,,-0.936064123,-0.026162858,0.05918336,0.073997712,0.05208999,,0.026018368,0.072378709,0.042489381,-0.12866464,-0.114859987,,-1.0,0.055436756,0.083823009,0.99894653,0.11447463,-0.06542945,0.244341006,0.993185276,0.10888519,-0.583278238,-0.129190935,0.999999189,0.062011864,-0.392537739,-0.805366727,0.997028648,0.092845489,0.345736366,-0.03117601,0.999998643,0.062280254,-0.554563211,-0.230781627,0.999404104,0.06192135,0.07732708,-1.118329222,0.998587248,0.106440583,-0.284940719,-0.674125874,0.994633257,0.089510204,-1.013238678,-1.021436971,0.99861594,0.06195261,-0.84893296,-1.397943855
-245.28,-138.08,-98.51,-154.46,-312.52,-353.77,0.98,3.5,3.17,2.18,1.21,0.94,BDQ+DEL,3,0.066738245,0.054897507,0.129540288,0.103106057,0.047607266,0.077539015,0.116972635,0.075398735,0.062446104,0.064241929,0.096081323,-0.024765653,-0.025646494,-0.102944355,-0.139567566,-0.867823017,-0.719430601,-0.349288873,-0.267151859,0.037952754,0.336276107,0.226721692,-0.189892589,-0.391838993,0.113831583,-0.12889138,0.193836888,-0.117843217,0.629486401,0.522360516,-0.047331117,0.324835689,0.939171867,-1.178440151,-0.888690772,-0.319322694,0.074107138,0.088213263,0.477301199,,-0.043878673,-0.313991862,0.336870825,-0.061218301,0.0384097,0.026120058,,0.028008047,0.121114471,0.02996368,-0.064198707,-0.069739397,,-0.936064123,-0.026162858,0.05918336,0.073997712,0.05208999,,0.026018368,0.072378709,0.042489381,-0.12866464,-0.114859987,,-1.0,0.055436756,0.083823009,0.99894653,0.11447463,-0.06542945,0.244341006,0.993185276,0.10888519,-0.583278238,-0.129190935,0.999999189,0.062011864,-0.392537739,-0.805366727,0.997028648,0.092845489,0.345736366,-0.03117601,0.999998643,0.062280254,-0.554563211,-0.230781627,0.999404104,0.06192135,0.07732708,-1.118329222,0.998587248,0.106440583,-0.284940719,-0.674125874,0.994633257,0.089510204,-1.013238678,-1.021436971,0.99861594,0.06195261,-0.84893296,-1.397943855
-292.24,-180.36,-174.09,-166.26,-194.87,-200.04,1.21,2.34,1.38,1.3,1.41,1.32,BDQ+DEL,4,0.066738245,0.054897507,0.129540288,0.103106057,0.047607266,0.077539015,0.116972635,0.075398735,0.062446104,0.064241929,0.096081323,-0.024765653,-0.025646494,-0.102944355,-0.139567566,-0.867823017,-0.719430601,-0.349288873,-0.267151859,0.037952754,0.336276107,0.226721692,-0.189892589,-0.391838993,0.113831583,-0.12889138,0.193836888,-0.117843217,0.629486401,0.522360516,-0.047331117,0.324835689,0.939171867,-1.178440151,-0.888690772,-0.319322694,0.074107138,0.088213263,0.477301199,,-0.043878673,-0.313991862,0.336870825,-0.061218301,0.0384097,0.026120058,,0.028008047,0.121114471,0.02996368,-0.064198707,-0.069739397,,-0.936064123,-0.026162858,0.05918336,0.073997712,0.05208999,,0.026018368,0.072378709,0.042489381,-0.12866464,-0.114859987,,-1.0,0.055436756,0.083823009,0.99894653,0.11447463,-0.06542945,0.244341006,0.993185276,0.10888519,-0.583278238,-0.129190935,0.999999189,0.062011864,-0.392537739,-0.805366727,0.997028648,0.092845489,0.345736366,-0.03117601,0.999998643,0.062280254,-0.554563211,-0.230781627,0.999404104,0.06192135,0.07732708,-1.118329222,0.998587248,0.106440583,-0.284940719,-0.674125874,0.994633257,0.089510204,-1.013238678,-1.021436971,0.99861594,0.06195261,-0.84893296,-1.397943855
-139.46,-46.72,-96.39,-113.99,-128.58,-170.88,1.25,2.77,1.81,1.27,1.13,0.71,BDQ+DEL,6,0.066738245,0.054897507,0.129540288,0.103106057,0.047607266,0.077539015,0.116972635,0.075398735,0.062446104,0.064241929,0.096081323,-0.024765653,-0.025646494,-0.102944355,-0.139567566,-0.867823017,-0.719430601,-0.349288873,-0.267151859,0.037952754,0.336276107,0.226721692,-0.189892589,-0.391838993,0.113831583,-0.12889138,0.193836888,-0.117843217,0.629486401,0.522360516,-0.047331117,0.324835689,0.939171867,-1.178440151,-0.888690772,-0.319322694,0.074107138,0.088213263,0.477301199,,-0.043878673,-0.313991862,0.336870825,-0.061218301,0.0384097,0.026120058,,0.028008047,0.121114471,0.02996368,-0.064198707,-0.069739397,,-0.936064123,-0.026162858,0.05918336,0.073997712,0.05208999,,0.026018368,0.072378709,0.042489381,-0.12866464,-0.114859987,,-1.0,0.055436756,0.083823009,0.99894653,0.11447463,-0.06542945,0.244341006,0.993185276,0.10888519,-0.583278238,-0.129190935,0.999999189,0.062011864,-0.392537739,-0.805366727,0.997028648,0.092845489,0.345736366,-0.03117601,0.999998643,0.062280254,-0.554563211,-0.230781627,0.999404104,0.06192135,0.07732708,-1.118329222,0.998587248,0.106440583,-0.284940719,-0.674125874,0.994633257,0.089510204,-1.013238678,-1.021436971,0.99861594,0.06195261,-0.84893296,-1.397943855
-289.2,-186.22,-160.66,-200.9,-245.89,-263.42,1.05,1.72,1.52,0.93,0.56,0.47,BDQ+DEL,7,0.066738245,0.054897507,0.129540288,0.103106057,0.047607266,0.077539015,0.116972635,0.075398735,0.062446104,0.064241929,0.096081323,-0.024765653,-0.025646494,-0.102944355,-0.139567566,-0.867823017,-0.719430601,-0.349288873,-0.267151859,0.037952754,0.336276107,0.226721692,-0.189892589,-0.391838993,0.113831583,-0.12889138,0.193836888,-0.117843217,0.629486401,0.522360516,-0.047331117,0.324835689,0.939171867,-1.178440151,-0.888690772,-0.319322694,0.074107138,0.088213263,0.477301199,,-0.043878673,-0.313991862,0.336870825,-0.061218301,0.0384097,0.026120058,,0.028008047,0.121114471,0.02996368,-0.064198707,-0.069739397,,-0.936064123,-0.026162858,0.05918336,0.073997712,0.05208999,,0.026018368,0.072378709,0.042489381,-0.12866464,-0.114859987,,-1.0,0.055436756,0.083823009,0.99894653,0.11447463,-0.06542945,0.244341006,0.993185276,0.10888519,-0.583278238,-0.129190935,0.999999189,0.062011864,-0.392537739,-0.805366727,0.997028648,0.092845489,0.345736366,-0.03117601,0.999998643,0.062280254,-0.554563211,-0.230781627,0.999404104,0.06192135,0.07732708,-1.118329222,0.998587248,0.106440583,-0.284940719,-0.674125874,0.994633257,0.089510204,-1.013238678,-1.021436971,0.99861594,0.06195261,-0.84893296,-1.397943855
