Timepoint,Output,Rank,Feature,Mean_Abs_SHAP
TP5,TP5_MeanHU,8,casAUC25_dormancySimplePK_Termil,0.627327188219103
TP5,TP5_MeanHU,9,casAUC25_cholesterolSimplePK_Termil,0.6234010213682273
TP5,TP5_MeanHU,10,LoeweFIC90_cholesterol_Termil,0.5958511146345797
TP5,TP5_MeanHU,11,GRinf_valerate_Termil,0.35469053068568235
TP5,TP5_MeanHU,12,casGRinf_dormancySimplePK_Constant,0.3393844710542334
TP5,TP5_MeanHU,13,AUC25_dormancy_Termil,0.33772172246074195
TP5,TP5_MeanHU,14,cellGRinf_cholesterolSimplePK_Termil,0.33570120891056354
TP5,TP5_MeanHU,15,NeutralHcasPK_Einf,0.303489101204304
TP5,TP5_MeanSUV,1,TP4_MeanHU,0.17416118215806478
TP5,TP5_MeanSUV,2,TP4_MeanSUV,0.1407936478195501
TP5,TP5_MeanSUV,3,TP3_MeanHU,0.031093193490637328
TP5,TP5_MeanSUV,4,TP3_MeanSUV,0.02334091365883071
TP5,TP5_MeanSUV,5,TP2_MeanSUV,0.02122041815835914
TP5,TP5_MeanSUV,6,TP2_MeanHU,0.01597508122850309
TP5,TP5_MeanSUV,7,NeutralHequip_FBC90,0.005157463796170513
TP5,TP5_MeanSUV,8,LoeweFIC90_cholesterol_Termil,0.004235986586396
TP5,TP5_MeanSUV,9,casAUC25_cholesterolSimplePK_Termil,0.0041347366752253895
TP5,TP5_MeanSUV,10,casAUC25_dormancySimplePK_Termil,0.0041194819623865
TP5,TP5_MeanSUV,11,AUC25_dormancy_Termil,0.0033334113188679456
TP5,TP5_MeanSUV,12,cellGRinf_cholesterolSimplePK_Termil,0.0032582758264789362
TP5,TP5_MeanSUV,13,cellGRinf_dormancySimplePK_Constant,0.0031655528053674445
TP5,TP5_MeanSUV,14,GRinf_valerate_Termil,0.0030743124067450305
TP5,TP5_MeanSUV,15,GRinf_butyrate_Termil,0.0030658017599412566
TP6,TP6_MeanHU,1,TP5_MeanHU,60.01913642594846
TP6,TP6_MeanHU,2,TP4_MeanHU,6.827890734344352
TP6,TP6_MeanHU,3,TP5_MeanSUV,4.076362299467127
TP6,TP6_MeanHU,4,TP4_MeanSUV,2.6316962588354635
TP6,TP6_MeanHU,5,TP2_MeanHU,2.4062651433643762
TP6,TP6_MeanHU,6,TP3_MeanSUV,2.1398736624347254
TP6,TP6_MeanHU,7,TP3_MeanHU,1.8106452517576348
TP6,TP6_MeanHU,8,TP2_MeanSUV,1.4627992186396486
TP6,TP6_MeanHU,9,LoeweFIC90_cholesterol_Termil,1.0620490023398352
TP6,TP6_MeanHU,10,cellAUC25_cholesterolSimplePK_Termil,0.6040196139488913
TP6,TP6_MeanHU,11,casGRinf_dormancySimplePK_Constant,0.4367977702668296
TP6,TP6_MeanHU,12,AcidicNequip_FBC50,0.4233002491114591
TP6,TP6_MeanHU,13,GRinf_acidic_Constant,0.4110605420714071
TP6,TP6_MeanHU,14,LoeweFIC90_dormancy_Constant,0.3327714495391697
TP6,TP6_MeanHU,15,GRinf_valerate_Termil,0.33117850359812284
TP6,TP6_MeanSUV,1,TP5_MeanHU,0.28268664471403304
TP6,TP6_MeanSUV,2,TP5_MeanSUV,0.08597767785774801
TP6,TP6_MeanSUV,3,TP4_MeanSUV,0.04213023923244714
TP6,TP6_MeanSUV,4,TP3_MeanSUV,0.02172662749065825
TP6,TP6_MeanSUV,5,TP4_MeanHU,0.020629141039151228
TP6,TP6_MeanSUV,6,TP2_MeanHU,0.014599227891688217
TP6,TP6_MeanSUV,7,TP3_MeanHU,0.011601444414070808
TP6,TP6_MeanSUV,8,TP2_MeanSUV,0.011093361949158102
TP6,TP6_MeanSUV,9,LoeweFIC90_cholesterol_Termil,0.0069042450680538514
TP6,TP6_MeanSUV,10,AUC25_acidic_Termil,0.004692595878393688
TP6,TP6_MeanSUV,11,casGRinf_dormancySimplePK_Constant,0.004185238010503421
TP6,TP6_MeanSUV,12,GRinf_valerate_Termil,0.0037274529358273176
TP6,TP6_MeanSUV,13,AcidicNequip_FBC50,0.0036437096939054858
TP6,TP6_MeanSUV,14,cellAUC25_cholesterolSimplePK_Termil,0.003491074201053588
TP6,TP6_MeanSUV,15,GRinf_acidic_Constant,0.0031718861627813566
