feature,CFU,radiodensity (HU),stdev radiodensity (HU),soft volume (mL),hard volume (mL),PET activity (SUV),Æ radiodensity (HU),Æ stdev radiodensity (HU),Æ soft volume (mL),Æ hard volume (mL),Æ PET activity (SUV)
PKcascholesterolGRinfC,0.11,-0.44,-0.55,0.65,-0.19,-0.25,-0.44,-0.33,-0.3,-0.41,0.11
PKcascholesterolGRinfT,0.18,-0.44,-0.46,0.75,-0.11,-0.11,-0.44,-0.31,-0.31,-0.35,0.16
PKcasdormancyGRinfC,0,0.08,0.13,-0.08,0.05,-0.13,0.1,-0.17,0.02,-0.13,-0.1
PKcasdormancyGRinfT,0.63,-0.18,0.3,-0.3,-0.52,-0.13,0.05,0.1,-0.05,-0.03,-0.35
PKcellbutyrateAUC25C,-0.23,0.45,-0.47,0.33,0.3,0.2,0.4,-0.2,0.08,0.37,0.55
PKcellbutyrateAUC25T,-0.2,0.72,-0.38,0.12,0.22,0.2,0.65,-0.07,0.2,0.4,0.3
PKcellcholesterolAUC25C,0.05,-0.17,-0.69,0.79,0.64,-0.14,-0.29,-0.71,0.43,0.36,0.31
PKcellcholesterolAUC25T,0.22,0.4,-0.23,-0.03,0.15,-0.15,0.47,-0.22,0.6,0.8,0.28
PKcelldormancyAUC25C,-0.37,0.08,-0.27,-0.35,0.07,-0.42,-0.03,-0.1,-0.05,0.17,-0.32
PKcelldormancyAUC25T,0.17,-0.02,0.33,-0.72,-0.27,-0.1,0.08,0.35,0.15,0.35,-0.33
PKcellbutyrateGRinfC,-0.13,0.83,0.08,-0.13,0.47,0.43,0.75,0.12,0.62,0.58,0.2
PKcellbutyrateGRinfT,-0.23,0.85,0.07,-0.12,0.48,0.47,0.73,0.13,0.52,0.47,0.17
PKcellcholesterolGRinfC,0.02,-0.41,-0.66,0.95,0.32,0.02,-0.46,-0.63,-0.24,-0.27,0.34
PKcellcholesterolGRinfT,-0.15,0.22,-0.22,0.48,0.13,0.32,0.25,-0.25,-0.37,-0.27,0.55
PKcelldormancyGRinfC,0.03,-0.82,-0.32,0.3,-0.3,-0.52,-0.87,-0.12,-0.33,-0.38,-0.23
PKcelldormancyGRinfT,-0.78,0.65,0.17,-0.3,0.27,0.15,0.28,0.5,0.32,-0.22,-0.33
  5NPKcasAUC50 ,-0.29,0.52,0.21,-0.41,0.3,0.18,0.53,0.12,0.36,0.42,-0.2
 7HPKcasAUC50 ,-0.17,0.16,-0.59,-0.05,-0.3,-0.42,0.09,-0.03,-0.32,0.02,-0.03
 7NPKcasAUC50 ,0.03,0.45,0.01,-0.26,0.31,0.4,0.6,-0.24,0.32,0.73,0.29
  5NPKcasFBC50 ,0.38,-0.51,-0.09,0.36,-0.19,-0.03,-0.46,-0.13,-0.23,-0.37,-0.1
 7HPKcasFBC50 ,0.52,-0.45,0.43,-0.24,-0.1,0.17,-0.2,-0.04,0.3,0.19,-0.07
 7NPKcasFBC50 ,0.29,-0.47,-0.37,0.49,-0.46,-0.32,-0.36,-0.34,-0.77,-0.27,0.24
  5NPKcasFBC90 ,0.36,-0.42,0.05,0.34,-0.1,0.06,-0.34,-0.13,-0.2,-0.31,-0.13
 7HPKcasFBC90 ,0.43,-0.4,0.23,0.03,-0.16,0.01,-0.34,0.13,0.33,-0.11,0.03
 7NPKcasFBC90 ,0.36,-0.27,-0.03,0.33,-0.08,-0.09,-0.08,-0.35,-0.09,0.16,0.31
  5N PKcellAUC50 ,-0.53,0.3,0.14,-0.16,0.36,0.08,0.1,0.15,0.01,-0.06,-0.24
 7HPKcellAUC50 ,-0.49,0.14,0.24,-0.08,0.1,0.31,0.03,0,-0.29,-0.19,0.37
 7NPkcellAUC50 ,-0.02,0.06,0.06,-0.1,0.39,0.25,0.24,-0.43,-0.12,0.34,-0.1
  5N PKcellFBC50 ,0.27,-0.57,-0.08,0.1,-0.11,-0.05,-0.52,-0.18,0.04,-0.2,-0.19
 7HPKcellFBC50 ,0.34,-0.55,-0.13,0.03,0.05,-0.08,-0.38,-0.47,0.19,0.16,-0.25
 7N cellPK FBC50 ,0.09,0.07,0.98,0.64,0.19,0.98,0.34,0.54,0.39,0.85,0.81
  5N PKcellFBC90 ,-0.13,-0.16,-0.08,0.07,0.42,0.14,-0.28,-0.2,0.41,0.07,-0.12
 7HPKcellFBC90 ,0.33,-0.26,0.26,-0.09,0.21,0.26,-0.19,-0.04,0.67,0.31,0.09
 7NPKcellFBC90 ,0.4,-0.27,0.24,-0.18,0.06,0.23,0.03,-0.34,0.31,0.41,0.14
  5NPKequipAUC50 ,-0.3,0.55,-0.24,0.03,0.43,0.35,0.51,-0.26,0.29,0.63,0.34
 7HPKequipAUC50 ,0.07,-0.15,-0.39,0.48,-0.12,-0.42,-0.26,-0.18,0.02,0.02,0.34
 7NPKequipAUC50 ,0.17,-0.01,0.27,-0.59,-0.46,-0.01,0.21,0.16,-0.24,0.11,0.12
  5NPKequipFBC50 ,0.16,-0.63,-0.02,-0.02,-0.48,-0.58,-0.59,0.09,-0.42,-0.54,-0.64
 7HPKequipFBC50 ,0.39,-0.05,-0.02,-0.1,-0.23,-0.35,0.04,0.26,0.15,-0.05,-0.73
7NPKequipFBC50 ,0.37,-0.05,0.19,0.13,0.41,0.34,0.1,-0.26,0.63,0.38,0.03
5NPKequipFBC90 ,0.66,-0.2,0.02,0.12,-0.17,-0.07,-0.04,0.12,0.15,0.19,-0.32
 7HPKequipFBC90 ,0.49,-0.2,-0.12,0.11,-0.15,-0.39,-0.14,0.12,0.41,0.07,-0.47
 7NPKequipFBC90 ,0.1,-0.16,-0.24,0.42,0.55,0.1,-0.08,-0.7,0.43,0.32,0.02
