feature,CFU,radiodensity (HU),stdev radiodensity (HU),soft volume (mL),hard volume (mL),PET activity (SUV),∆ radiodensity (HU),∆ stdev radiodensity (HU),∆ soft volume (mL),∆ hard volume (mL),∆ PET activity (SUV)
PK_cas GRinf dormancy (constant),1,0.84,0.74,0.84,0.91,0.74,0.81,0.68,0.98,0.74,0.81
PK_cas GRinf dormancy (terminal),0.08,0.64,0.44,0.44,0.16,0.74,0.91,0.81,0.91,0.95,0.36
PK_cell AUC25 butyrate (constant),0.55,0.23,0.21,0.39,0.44,0.61,0.29,0.61,0.84,0.34,0.13
PK_cell AUC25 butyrate (terminal),0.61,0.04,0.31,0.78,0.58,0.61,0.07,0.88,0.61,0.29,0.44
PK_cell AUC25 cholesterol (constant),0.93,0.7,0.07,0.03,0.1,0.75,0.5,0.06,0.3,0.39,0.46
PK_cell AUC25 cholesterol (terminal),0.58,0.29,0.55,0.95,0.71,0.71,0.21,0.58,0.1,0.01,0.46
PK_cell AUC25 dormancy (constant),0.34,0.84,0.49,0.36,0.88,0.27,0.95,0.81,0.91,0.68,0.41
PK_cell AUC25 dormancy (terminal),0.68,0.98,0.39,0.04,0.49,0.81,0.84,0.36,0.71,0.36,0.39
PK_cell GRinf butyrate (constant),0.74,0.01,0.84,0.74,0.21,0.25,0.03,0.78,0.09,0.11,0.61
PK_cell GRinf butyrate (terminal),0.55,0.01,0.88,0.78,0.19,0.21,0.03,0.74,0.16,0.21,0.68
PK_cell GRinf cholesterol (constant),0.98,0.31,0.09,0,0.45,0.98,0.25,0.1,0.56,0.53,0.41
PK_cell GRinf cholesterol (terminal),0.71,0.58,0.58,0.19,0.74,0.41,0.52,0.52,0.34,0.49,0.13
PK_cell GRinf dormancy (constant),0.95,0.01,0.41,0.44,0.44,0.16,0,0.78,0.39,0.31,0.55
PK_cell GRinf dormancy (terminal),0.02,0.07,0.68,0.44,0.49,0.71,0.46,0.18,0.41,0.58,0.39
  5N casPK AUC50 ,0.33,0.07,0.48,0.17,0.32,0.55,0.07,0.7,0.23,0.16,0.51
 7H casPK AUC50 ,0.58,0.59,0.04,0.88,0.32,0.15,0.76,0.92,0.29,0.96,0.93
 7N casPK AUC50 ,0.92,0.13,0.99,0.38,0.3,0.18,0.03,0.44,0.29,0.01,0.34
  5N casPK FBC50 ,0.2,0.08,0.78,0.23,0.54,0.92,0.12,0.67,0.46,0.22,0.75
 7H casPK FBC50 ,0.07,0.12,0.15,0.43,0.75,0.58,0.52,0.89,0.32,0.53,0.82
 7N casPK FBC50 ,0.33,0.11,0.22,0.09,0.12,0.28,0.22,0.25,0,0.37,0.43
  5N casPK FBC90 ,0.22,0.15,0.86,0.26,0.74,0.85,0.25,0.67,0.52,0.3,0.68
 7H casPK FBC90 ,0.15,0.18,0.44,0.91,0.6,0.97,0.26,0.67,0.27,0.72,0.91
 7N casPK FBC90 ,0.23,0.36,0.93,0.27,0.79,0.76,0.79,0.25,0.76,0.6,0.31
  5N cellPK AUC50 ,0.07,0.32,0.66,0.59,0.23,0.79,0.74,0.63,0.98,0.85,0.44
 7H cellPK AUC50 ,0.09,0.64,0.43,0.79,0.74,0.3,0.92,1,0.33,0.54,0.22
 7N cellPK AUC50 ,0.95,0.85,0.85,0.75,0.19,0.4,0.44,0.14,0.7,0.26,0.74
  5N cellPK FBC50 ,0.36,0.05,0.81,0.75,0.72,0.88,0.07,0.55,0.91,0.52,0.54
 7H cellPK FBC50 ,0.25,0.06,0.68,0.93,0.88,0.81,0.2,0.11,0.54,0.6,0.4
 7N cellPK FBC50 ,0.09,0.07,0.98,0.64,0.19,0.98,0.34,0.54,0.39,0.85,0.81
