Compound,MarmID,Lesion,TP1_MeanHU,TP2_MeanHU,TP3_MeanHU,TP4_MeanHU,TP5_MeanHU,TP6_MeanHU,TP1_MedianHU,TP2_MedianHU,TP3_MedianHU,TP4_MedianHU,TP5_MedianHU,TP6_MedianHU,TP1_StandDevHU,TP2_StandDevHU,TP3_StandDevHU,TP4_StandDevHU,TP5_StandDevHU,TP6_StandDevHU,TP1_MeanSUV,TP2_MeanSUV,TP3_MeanSUV,TP4_MeanSUV,TP5_MeanSUV,TP6_MeanSUV,TP1_MedianSUV,TP2_MedianSUV,TP3_MedianSUV,TP4_MedianSUV,TP5_MedianSUV,TP6_MedianSUV,TP1_StandDevSUV,TP2_StandDevSUV,TP3_StandDevSUV,TP4_StandDevSUV,TP5_StandDevSUV,TP6_StandDevSUV,TP1_MaxSUV,TP2_MaxSUV,TP3_MaxSUV,TP4_MaxSUV,TP5_MaxSUV,TP6_MaxSUV,TP1_HighSUV,TP2_HighSUV,TP3_HighSUV,TP4_HighSUV,TP5_HighSUV,TP6_HighSUV,TP1_VOLMORE1p5_SUV,TP2_VOLMORE1p5_SUV,TP3_VOLMORE1p5_SUV,TP4_VOLMORE1p5_SUV,TP5_VOLMORE1p5_SUV,TP6_VOLMORE1p5_SUV,TP1_VOLMORE2_SUV,TP2_VOLMORE2_SUV,TP3_VOLMORE2_SUV,TP4_VOLMORE2_SUV,TP5_VOLMORE2_SUV,TP6_VOLMORE2_SUV,TP1_TLG_SUV,TP2_TLG_SUV,TP3_TLG_SUV,TP4_TLG_SUV,TP5_TLG_SUV,TP6_TLG_SUV,TP1_TLG_HardPlusSoft_SUV,TP2_TLG_HardPlusSoft_SUV,TP3_TLG_HardPlusSoft_SUV,TP4_TLG_HardPlusSoft_SUV,TP5_TLG_HardPlusSoft_SUV,TP6_TLG_HardPlusSoft_SUV,TP1_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP2_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP3_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP4_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP5_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP6_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP1_SoftVol,TP2_SoftVol,TP3_SoftVol,TP4_SoftVol,TP5_SoftVol,TP6_SoftVol,TP1_HardVol,TP2_HardVol,TP3_HardVol,TP4_HardVol,TP5_HardVol,TP6_HardVol,TP1_log10CFU,TP2_log10CFU,TP3_log10CFU,TP4_log10CFU,TP5_log10CFU,TP6_log10CFU,TP1_LesionType,TP2_LesionType,TP3_LesionType,TP4_LesionType,TP5_LesionType,TP6_LesionType,TP1_FinalLesionType,TP2_FinalLesionType,TP3_FinalLesionType,TP4_FinalLesionType,TP5_FinalLesionType,TP6_FinalLesionType,TP1_Consolidate,TP2_Consolidate,TP3_Consolidate,TP4_Consolidate,TP5_Consolidate,TP6_Consolidate,TP1_Contour,TP2_Contour,TP3_Contour,TP4_Contour,TP5_Contour,TP6_Contour
PMD,BJ27,13,-308.83,-169.2,-214.04,-293.93,-331.13,-297.03,-322.29,-112.0,-177.19,-305.66,-346.3,-311.15,203.67,207.07,199.03,213.91,231.21,205.24,1.49,1.78,1.57,1.64,1.36,1.57,1.43,1.73,1.37,1.54,1.3,1.56,0.41,0.51,0.78,0.61,0.43,0.43,2.41,3.16,3.57,3.21,2.33,2.54,0.01,0.06,0.05,0.03,0.0,0.01,,,,,,,0.01,0.06,0.05,0.03,0.0,0.01,0.07,0.31,0.25,0.16,0.07,0.06,0.06,0.31,0.25,0.15,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.08,0.06,0.03,0.02,0.02,0.11,0.09,0.03,0.02,0.01,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Lesion 13z14 Day 036 FG,Lesion 13z14 Day 045 FG,Lesion 13z14 Day 060 FG,Lesion 13z14 Day 074 FG,Lesion 13z14 Day 088 FG,Lesion 13z14 Day 101 FG
DLM+OPC,BJ28,6,-136.26,-149.22,-173.85,-110.64,-365.18,-218.27,-138.19,-107.31,-172.32,-119.96,-376.31,-232.8,271.33,244.68,257.84,271.42,217.81,292.25,0.35,1.74,0.48,0.34,0.34,0.39,0.36,1.74,0.47,0.34,0.33,0.38,0.03,0.47,0.16,0.07,0.05,0.05,0.42,2.69,0.89,0.49,0.49,0.46,0.0,0.01,0.0,0.0,0.0,0.0,,,,,,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.01,0.0,0.01,0.0,0.07,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.01,0.01,0.0,0.02,0.01,0.01,0.0,0.01,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 06 Day 033 FG,Lesion 06 Day 046 FG,Lesion 06 Day 060 FG,Lesion 06 Day 074 FG,Lesion 05 Day 088 JF,Lesion 06 Day 102 FG
PZA,BJ45,10,-679.78,-414.85,-461.29,-578.11,-713.48,-685.19,-691.67,-424.62,-490.57,-611.28,-736.79,-701.98,112.42,168.62,148.15,126.31,155.54,112.14,0.83,0.91,0.69,1.02,1.44,0.55,0.81,0.89,0.7,1.02,1.42,0.54,0.13,0.11,0.04,0.1,0.1,0.08,1.14,1.24,0.74,1.15,1.59,0.65,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Not Visible,Not Visible,Not Visible,Not Visible,Not Visible,Not Visible,Not Visible,Not Visible,Not Visible,Not Visible,Not Visible,Not Visible,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 10 Day 038 FG,Lesion 10 Day 051 FG,Lesion 10 Day 064 FG,Lesion 10 Day 080 FG,Lesion 10 Day 092 FG,Lesion 10 Day 105 FG
PMD,BK21,1,-69.48,-55.15,-78.02,-55.05,-44.55,-74.27,17.31,16.76,-2.52,24.57,9.38,-5.98,213.02,189.97,199.15,192.01,171.81,199.36,0.95,2.02,0.67,0.87,0.94,0.86,0.94,1.96,0.68,0.86,0.92,0.86,0.28,0.74,0.15,0.21,0.28,0.21,1.54,3.81,0.96,1.51,1.62,1.35,0.0,0.08,0.0,0.0,0.0,0.0,,,,,,,0.0,0.08,0.0,0.0,0.0,0.0,0.1,0.33,0.14,0.15,0.18,0.16,0.09,0.33,0.14,0.15,0.18,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.03,0.03,0.04,0.08,0.13,0.14,0.14,0.16,0.15,,,,,,2.55,Fibrotic Scar,Fibrotic Scar,Fibrotic Scar,Fibrotic Scar,Fibrotic Scar,Fibrotic Scar,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 01 Day 036 FG,Lesion 01 Day 045 FG,Lesion 01 Day 060 FG,Lesion 01 Day 074 FG,Lesion 01 Day 088 FG,Lesion 01 Day 101 FG
PMD,BK21,2,-237.55,-131.55,-163.55,-154.13,-152.69,-183.18,-221.21,-50.55,-95.18,-74.26,-77.11,-123.71,231.32,207.88,235.25,233.08,230.52,234.99,1.25,3.02,1.06,1.63,1.66,1.4,1.27,3.01,1.05,1.6,1.63,1.36,0.28,1.03,0.29,0.54,0.54,0.43,1.84,5.3,1.73,2.84,2.82,2.37,0.0,0.26,0.0,0.09,0.1,0.03,,,,,,,0.0,0.26,0.0,0.09,0.1,0.03,0.15,0.98,0.68,0.51,0.54,0.39,0.15,0.97,0.65,0.5,0.53,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.1,0.22,0.11,0.12,0.11,0.05,0.22,0.39,0.2,0.21,0.16,,,,,,4.19,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 02 Day 036 FG,Lesion 02 Day 045 FG,Lesion 02 Day 060 FG,Lesion 02 Day 074 FG,Lesion 02 Day 088 FG,Lesion 02 Day 101 FG
PMD,BK21,3,-224.84,-144.07,-111.59,-95.49,-51.97,-33.31,-196.75,-72.65,-10.76,3.98,34.09,31.93,222.4,221.98,222.76,217.94,199.21,180.19,1.1,2.87,1.2,1.65,2.07,1.85,1.0,2.45,1.18,1.63,2.05,1.82,0.35,1.53,0.29,0.62,0.72,0.69,1.97,7.33,1.89,2.96,3.75,3.55,0.0,0.36,0.0,0.15,0.32,0.37,,,,,,,0.0,0.36,0.0,0.15,0.32,0.37,0.13,1.63,0.59,0.79,1.24,1.79,0.13,1.6,0.58,0.78,1.23,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.19,0.13,0.11,0.11,0.13,0.06,0.36,0.34,0.37,0.47,0.82,,,,,,5.49,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Lesion 03z04 Day 036 FG,Lesion 03z04 Day 045 FG,Lesion 03z04 Day 060 FG,Lesion 03z04 Day 074 FG,Lesion 03z04 Day 088 FG,Lesion 03z04 Day 101 FG
PMD,BK21,5,-76.29,4.89,-17.19,-4.36,6.28,3.65,19.35,29.82,32.48,38.98,34.09,35.92,190.83,106.03,149.9,145.09,127.29,131.84,1.68,3.65,1.5,1.95,2.0,1.81,1.68,3.46,1.61,1.95,1.98,1.77,0.43,1.57,0.45,0.6,0.53,0.48,2.55,7.75,2.31,3.24,3.85,3.11,0.08,1.01,0.14,0.5,0.63,0.63,,,,,,,0.08,1.01,0.14,0.5,0.63,0.63,0.5,4.43,1.87,2.07,2.64,3.38,0.5,4.43,1.87,2.07,2.63,3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.13,0.09,0.08,0.12,0.23,1.14,1.13,0.99,1.24,1.72,,,,,,6.31,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Lesion 05z06 Day 036 FG,Lesion 05z06 Day 045 FG,Lesion 05z06 Day 060 FG,Lesion 05z06 Day 074 FG,Lesion 05z06 Day 088 FG,Lesion 05z06 Day 101 FG
PMD,BK21,7,-307.84,-276.6,-268.36,-264.22,-219.0,-263.69,-327.23,-290.64,-286.66,-271.93,-196.55,-261.39,223.69,220.41,224.14,226.07,227.88,232.25,0.81,2.7,0.67,1.14,1.3,1.26,0.75,2.61,0.61,1.14,1.26,1.22,0.22,1.07,0.28,0.4,0.49,0.47,1.4,5.17,1.42,2.07,2.54,2.29,0.0,0.1,0.0,0.0,0.02,0.01,,,,,,,0.0,0.1,0.0,0.0,0.02,0.01,0.04,0.38,0.11,0.18,0.32,0.3,0.04,0.38,0.11,0.18,0.31,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.09,0.09,0.12,0.13,0.02,0.05,0.07,0.07,0.12,0.1,,,,,,4.84,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 07 Day 036 FG,Lesion 07 Day 045 FG,Lesion 07 Day 060 FG,Lesion 07 Day 074 FG,Lesion 07 Day 088 FG,Lesion 07 Day 101 FG
RIF,BM01,3,-484.57,-363.79,-384.79,-461.67,-612.77,-580.64,-483.82,-393.59,-395.46,-479.46,-619.92,-574.19,148.45,193.5,170.67,122.8,110.89,115.85,0.53,1.03,0.95,0.51,0.51,0.4,0.53,1.0,0.93,0.53,0.44,0.33,0.04,0.25,0.16,0.1,0.19,0.19,0.59,1.66,1.3,0.76,1.17,0.74,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 03 Day 036 FG,Lesion 03 Day 051 FG,Lesion 03 Day 064 FG,Lesion 03 Day 078 FG,Lesion 03 Day 092 FG,Lesion 03 Day 105 FG
BDQ+LZD,BM07,21,-361.2,-304.5,-386.44,-535.6,-461.91,-553.58,-362.0,-320.0,-378.0,-552.0,-479.0,-556.0,147.72,133.3,192.1,127.28,67.23,61.64,1.02,1.15,0.06,0.62,0.59,0.53,1.01,1.11,0.06,0.61,0.57,0.52,0.08,0.13,0.01,0.06,0.05,0.02,1.18,1.53,0.09,0.77,0.68,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.02,0.13,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 21 Day 031 AA,Lesion 21 Day 045 AA,Lesion 21 Day 060 AA,Lesion 21 Day 075 AA,Lesion 21 Day 088 AA,Lesion 21 Day 101 AA
BDQ+LZD,BM07,22,-418.68,-311.02,-401.98,-543.29,-452.85,-507.47,-431.0,-329.0,-419.0,-566.0,-479.0,-525.0,134.78,158.31,174.59,137.07,83.74,89.09,0.64,0.73,0.05,0.41,0.42,0.41,0.65,0.7,0.04,0.41,0.41,0.41,0.02,0.09,0.01,0.03,0.04,0.02,0.72,1.04,0.06,0.49,0.5,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.02,0.0,0.0,0.0,0.14,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 22 Day 031 AA,Lesion 22 Day 045 AA,Lesion 22 Day 060 AA,Lesion 22 Day 075 AA,Lesion 22 Day 088 AA,Lesion 22 Day 101 AA
BDQ+LZD,BM07,24,-454.94,-368.97,-370.55,-453.26,-476.46,-556.04,-459.0,-385.0,-378.0,-452.0,-484.0,-571.0,100.71,104.53,120.81,125.42,52.54,97.29,0.59,0.58,0.04,0.39,0.31,0.31,0.58,0.52,0.04,0.38,0.31,0.31,0.04,0.19,0.01,0.04,0.01,0.02,0.68,1.27,0.07,0.48,0.33,0.36,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0,0,0,0.01,0.0,0.0,0.19,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.014705882352941176,0.007874015748031496,0.14285714285714285,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 24 Day 031 AA,Lesion 24 Day 045 AA,Lesion 24 Day 060 AA,Lesion 24 Day 075 AA,Lesion 24 Day 088 AA,Lesion 24 Day 101 AA
INH+PZA,BM16,16,-363.11,-260.82,-302.41,-293.78,-422.08,-375.22,-379.0,-269.0,-311.0,-295.0,-431.0,-390.0,118.0,164.62,132.78,156.56,127.59,119.36,0.46,1.07,1.06,0.52,0.39,0.28,0.46,0.92,1.03,0.52,0.39,0.28,0.05,0.45,0.4,0.06,0.03,0.01,0.61,2.41,2.08,0.65,0.46,0.31,0.0,0.01,0.01,0.0,0.0,0.0,0,0.01,0.01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.06,0.01,0.01,0.01,0.01,0.06,0.06,0.01,0.01,0.0,0.0,0.004149377593360996,0.004807692307692308,0.0,0.0,0.0,0.03,0.04,0.04,0.01,0.02,0.01,0.0,0.02,0.01,0.0,0.0,0.0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 16 Day 031 AA,Lesion 16 Day 044 AA,Lesion 16 Day 058 AA,Lesion 16 Day 071 FG,Lesion 16 Day 086 AA,Lesion 16 Day 099 AA
INH+PZA,BM16,20,-452.11,-242.49,-303.35,-270.63,-361.69,-324.72,-455.0,-230.0,-300.0,-271.0,-366.0,-328.0,99.65,128.78,115.98,144.04,129.18,136.45,0.46,1.09,1.03,0.82,0.66,0.4,0.45,1.04,1.05,0.79,0.66,0.38,0.07,0.38,0.22,0.21,0.08,0.08,0.63,1.85,1.41,1.51,0.87,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.02,0.01,0.01,0.0,0.02,0.03,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.02,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 20 Day 031 AA,Lesion 20 Day 044 AA,Lesion 20 Day 058 AA,Lesion 20 Day 071 FG,Lesion 20 Day 086 AA,Lesion 20 Day 099 AA
PZA,BM19,4,-245.87,-162.54,-111.71,-123.57,-165.05,-220.03,-235.0,-145.0,-83.0,-75.0,-144.0,-176.0,100.21,127.79,110.68,129.71,115.35,137.09,0.78,1.11,1.17,1.14,0.95,0.96,0.8,1.11,1.16,1.15,0.96,0.95,0.07,0.11,0.15,0.15,0.11,0.09,0.92,1.36,1.51,1.42,1.17,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 04 Day 030 FG,Lesion 04 Day 043 FG,Lesion 04 Day 057 FG,Lesion 04 Day 071 FG,Lesion 04 Day 085 FG,Lesion 04 Day 098 FG
OPC,BM27,7,-517.63,-359.0,-369.26,-526.8,-594.74,-852.96,-572.93,-372.32,-406.84,-550.46,-613.41,-848.99,185.68,206.61,204.19,91.15,49.45,38.56,1.05,1.11,0.81,0.37,0.29,0.23,1.01,1.11,0.82,0.37,0.29,0.19,0.16,0.33,0.17,0.07,0.03,0.06,1.45,2.04,1.14,0.56,0.32,0.29,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.01,0.0,0.0,0.0,0.01,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 07 Day 036 FG,Lesion 07 Day 050 FG,Lesion 07 Day 064 FG,Lesion 07 Day 079 FG,Lesion 07 Day 092 FG,Lesion 07 Day 104 FG
OPC,BM27,13,-304.13,-254.86,-354.16,-379.55,-449.91,-450.49,-318.15,-205.8,-380.5,-430.48,-479.53,-483.97,217.73,283.88,214.61,186.42,157.93,153.76,1.15,0.94,0.9,0.72,0.64,1.19,1.19,0.86,0.91,0.71,0.65,1.18,0.19,0.27,0.06,0.03,0.03,0.38,1.53,2.21,1.03,0.78,0.66,2.13,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.01,0.01,0.0,0.0,0.02,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 13 Day 036 FG,Lesion 13 Day 050 FG,Lesion 13 Day 064 FG,Lesion 13 Day 079 FG,Lesion 13 Day 092 FG,Lesion 13 Day 104 FG
MOX+RIF,BM28,13,-450.43,-454.45,-482.61,-586.2,-646.52,-597.96,-457.0,-469.0,-486.0,-598.0,-651.0,-598.0,57.5,84.94,102.41,112.74,72.62,52.55,0.47,0.71,0.58,0.27,0.25,0.37,0.46,0.72,0.57,0.27,0.25,0.36,0.04,0.07,0.05,0.02,0.01,0.02,0.58,0.87,0.74,0.31,0.29,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 13 Day 032 AA,Lesion 13 Day 045 AA,Lesion 13 Day 059 AA,Lesion 13 Day 075 AA,Lesion 13 Day 087 AA,Lesion 13 Day 101 AA
MOX+RIF,BM28,14,-312.43,-287.51,-295.31,-272.49,-513.27,-596.33,-320.0,-295.0,-299.0,-267.0,-523.0,-603.0,100.15,123.19,127.52,127.33,114.17,81.03,0.54,1.18,0.8,0.27,0.28,0.37,0.53,1.08,0.77,0.26,0.27,0.37,0.07,0.45,0.16,0.03,0.03,0.02,0.74,2.52,1.45,0.39,0.39,0.47,0.0,0.01,0.0,0.0,0.0,0.0,0,0.01,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.03,0.0,0.01,0.01,0.01,0.06,0.03,0.0,0.0,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.01,0.04,0.03,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 14 Day 032 AA,Lesion 14 Day 045 AA,Lesion 14 Day 059 AA,Lesion 14 Day 075 AA,Lesion 14 Day 087 AA,Lesion 14 Day 101 AA
MOX+RIF,BM34,9,-476.8,-419.35,-371.94,-470.02,-527.28,-692.78,-488.0,-427.0,-372.0,-478.0,-525.0,-691.0,106.12,126.69,118.84,123.07,75.66,61.85,0.39,0.74,0.53,0.61,0.48,0.39,0.39,0.75,0.53,0.57,0.48,0.39,0.02,0.09,0.04,0.1,0.05,0.02,0.43,0.9,0.6,0.91,0.61,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06976744186046512,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 09 Day 032 FG,Lesion 09 Day 045 FG,Lesion 09 Day 059 FG,Lesion 09 Day 075 FG,Lesion 09 Day 087 FG,Lesion 09 Day 101 FG
MOX+RIF,BM34,20,-535.76,-496.74,-492.18,-509.55,-541.03,-543.04,-537.0,-496.0,-501.0,-513.0,-545.0,-542.0,44.62,71.68,87.97,59.53,49.64,71.51,0.44,0.65,0.64,0.55,0.59,0.74,0.45,0.64,0.62,0.55,0.59,0.73,0.03,0.06,0.06,0.04,0.04,0.04,0.53,0.82,0.85,0.7,0.71,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056603773584905655,0.012195121951219513,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 20 Day 032 FG,Lesion 20 Day 045 FG,Lesion 20 Day 059 FG,Lesion 20 Day 075 FG,Lesion 20 Day 087 FG,Lesion 20 Day 101 FG
MOX+RIF,BM34,23,-437.86,-395.17,-448.67,-475.58,-558.51,-606.41,-468.0,-406.0,-456.0,-488.0,-576.0,-610.0,124.54,172.86,155.7,130.73,137.99,86.71,0.52,0.71,0.52,0.42,0.45,0.42,0.53,0.68,0.51,0.42,0.44,0.41,0.07,0.13,0.09,0.03,0.05,0.05,0.64,1.0,0.78,0.51,0.64,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01754385964912281,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 23 Day 032 FG,Lesion 23 Day 045 FG,Lesion 23 Day 059 FG,Lesion 23 Day 075 FG,Lesion 23 Day 087 FG,Lesion 23 Day 101 FG
