Compound,MarmID,Lesion,TP1_MeanHU,TP2_MeanHU,TP3_MeanHU,TP4_MeanHU,TP5_MeanHU,TP6_MeanHU,TP1_MedianHU,TP2_MedianHU,TP3_MedianHU,TP4_MedianHU,TP5_MedianHU,TP6_MedianHU,TP1_StandDevHU,TP2_StandDevHU,TP3_StandDevHU,TP4_StandDevHU,TP5_StandDevHU,TP6_StandDevHU,TP1_MeanSUV,TP2_MeanSUV,TP3_MeanSUV,TP4_MeanSUV,TP5_MeanSUV,TP6_MeanSUV,TP1_MedianSUV,TP2_MedianSUV,TP3_MedianSUV,TP4_MedianSUV,TP5_MedianSUV,TP6_MedianSUV,TP1_StandDevSUV,TP2_StandDevSUV,TP3_StandDevSUV,TP4_StandDevSUV,TP5_StandDevSUV,TP6_StandDevSUV,TP1_MaxSUV,TP2_MaxSUV,TP3_MaxSUV,TP4_MaxSUV,TP5_MaxSUV,TP6_MaxSUV,TP1_HighSUV,TP2_HighSUV,TP3_HighSUV,TP4_HighSUV,TP5_HighSUV,TP6_HighSUV,TP1_VOLMORE1p5_SUV,TP2_VOLMORE1p5_SUV,TP3_VOLMORE1p5_SUV,TP4_VOLMORE1p5_SUV,TP5_VOLMORE1p5_SUV,TP6_VOLMORE1p5_SUV,TP1_VOLMORE2_SUV,TP2_VOLMORE2_SUV,TP3_VOLMORE2_SUV,TP4_VOLMORE2_SUV,TP5_VOLMORE2_SUV,TP6_VOLMORE2_SUV,TP1_TLG_SUV,TP2_TLG_SUV,TP3_TLG_SUV,TP4_TLG_SUV,TP5_TLG_SUV,TP6_TLG_SUV,TP1_TLG_HardPlusSoft_SUV,TP2_TLG_HardPlusSoft_SUV,TP3_TLG_HardPlusSoft_SUV,TP4_TLG_HardPlusSoft_SUV,TP5_TLG_HardPlusSoft_SUV,TP6_TLG_HardPlusSoft_SUV,TP1_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP2_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP3_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP4_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP5_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP6_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP1_SoftVol,TP2_SoftVol,TP3_SoftVol,TP4_SoftVol,TP5_SoftVol,TP6_SoftVol,TP1_HardVol,TP2_HardVol,TP3_HardVol,TP4_HardVol,TP5_HardVol,TP6_HardVol,TP1_log10CFU,TP2_log10CFU,TP3_log10CFU,TP4_log10CFU,TP5_log10CFU,TP6_log10CFU,TP1_LesionType,TP2_LesionType,TP3_LesionType,TP4_LesionType,TP5_LesionType,TP6_LesionType,TP1_FinalLesionType,TP2_FinalLesionType,TP3_FinalLesionType,TP4_FinalLesionType,TP5_FinalLesionType,TP6_FinalLesionType,TP1_Consolidate,TP2_Consolidate,TP3_Consolidate,TP4_Consolidate,TP5_Consolidate,TP6_Consolidate,TP1_Contour,TP2_Contour,TP3_Contour,TP4_Contour,TP5_Contour,TP6_Contour,UMAP1,UMAP2,cluster,classif
PZA+RIF,BN05,1,-321.86,-166.54,-166.24,-214.27,-184.95,-157.63,-322.0,-95.0,-106.0,-181.0,-140.0,-122.0,139.34,175.78,162.93,181.47,194.04,186.03,0.9,1.63,1.2,0.77,0.66,0.54,0.93,1.53,1.18,0.76,0.65,0.52,0.1,0.48,0.23,0.1,0.08,0.08,1.03,2.75,1.91,1.01,0.89,0.73,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.0,0.0036363636363636364,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.01,,,,,,0.48,Scar,Scar,Scar,Scar,Scar,Scar,Scar,Scar,Scar,Scar,Scar,Scar,false,false,false,false,false,false,Lesion 01 Day 033 AA,Lesion 01 Day 046 AA,Lesion 01 Day 060 AA,Lesion 01 Day 074 AA,Lesion 01 Day 088 AA,Lesion 01 Day 102 AA,3.2254348,7.2749386,6,cool
PZA+RIF,BN05,2,-249.63,-108.41,-137.66,-130.95,-55.61,-182.85,-262.0,-45.0,-77.0,-68.0,9.0,-153.0,170.53,158.33,169.69,169.7,159.58,185.91,0.99,2.57,1.93,1.82,1.54,0.63,0.88,2.46,1.7,1.52,1.12,0.59,0.4,1.36,1.1,1.18,1.07,0.19,1.95,5.53,4.77,6.05,4.78,1.12,0.01,0.13,0.1,0.1,0.06,0.0,0.01,0.13,0.1,0.1,0.06,0.0,0.0,0.1,0.08,0.07,0.05,0.0,0.05,0.45,0.35,0.34,0.25,0.07,0.05,0.45,0.35,0.34,0.25,0.07,0.005128205128205128,0.023508137432188065,0.0209643605870021,0.01652892561983471,0.012552301255230124,0.0,0.03,0.05,0.03,0.06,0.04,0.06,0.02,0.11,0.02,0.12,0.13,0.06,,,,,,0.78,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,false,false,false,false,false,false,Lesion 02 Day 033 AA,Lesion 02 Day 046 AA,Lesion 02 Day 060 AA,Lesion 02 Day 074 AA,Lesion 02 Day 088 AA,Lesion 02 Day 102 AA,1.0168222,8.366021,2,hot
PZA+RIF,BN05,3,-396.64,-183.16,-311.55,-243.11,-279.48,-436.79,-402.0,-149.0,-320.0,-249.0,-297.0,-448.0,91.23,163.62,131.55,173.47,170.14,55.3,0.67,0.86,0.73,0.58,0.6,0.45,0.64,0.76,0.7,0.55,0.58,0.44,0.12,0.31,0.17,0.11,0.08,0.04,0.93,1.89,1.15,0.92,0.85,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.01,0.0,0.0,0.01,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,,,,,,0.48,Scar,Scar,Scar,Scar,Scar,Scar,Scar,Scar,Scar,Scar,Scar,Scar,false,false,false,false,false,false,Lesion 03 Day 033 AA,Lesion 03 Day 046 AA,Lesion 03 Day 060 AA,Lesion 03 Day 074 AA,Lesion 03 Day 088 AA,Lesion 03 Day 102 AA,5.356742,7.5843735,9,cool
PZA+RIF,BN05,4,-277.22,-124.06,-124.15,-146.57,-149.7,-240.68,-264.0,-67.0,-62.0,-100.0,-136.0,-265.0,141.85,163.57,163.06,174.3,201.45,188.56,1.48,2.64,2.49,3.2,1.89,1.96,1.37,2.56,2.47,3.08,1.69,1.61,0.68,1.41,1.16,1.27,1.03,1.03,3.3,5.67,5.42,6.8,4.55,5.26,0.06,0.15,0.14,0.12,0.07,0.04,0.06,0.15,0.14,0.12,0.07,0.04,0.03,0.13,0.12,0.11,0.04,0.03,0.18,0.55,0.47,0.42,0.22,0.13,0.18,0.55,0.47,0.42,0.22,0.13,0.01818181818181818,0.026455026455026454,0.02583025830258303,0.01764705882352941,0.01624129930394432,0.007712082262210797,0.07,0.07,0.07,0.06,0.06,0.04,0.04,0.14,0.04,0.07,0.05,0.03,,,,,,0.78,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,false,false,false,false,false,false,Lesion 04 Day 033 AA,Lesion 04 Day 046 AA,Lesion 04 Day 060 AA,Lesion 04 Day 074 AA,Lesion 04 Day 088 AA,Lesion 04 Day 102 AA,0.6079396,7.9366317,2,hot
PZA+RIF,BN05,5,-317.79,-138.76,-149.84,-145.53,-137.53,-210.31,-329.0,-68.0,-91.0,-81.0,-71.0,-184.0,137.37,163.29,166.76,171.74,195.73,187.12,1.0,2.1,1.81,1.49,1.06,0.51,0.97,1.97,1.7,1.1,0.93,0.49,0.27,0.92,0.75,0.98,0.44,0.11,1.83,4.03,3.69,5.05,2.48,0.91,0.01,0.18,0.19,0.08,0.03,0.0,0.01,0.18,0.19,0.08,0.03,0.0,0.0,0.13,0.12,0.05,0.01,0.0,0.13,0.57,0.57,0.33,0.18,0.06,0.13,0.57,0.57,0.33,0.18,0.06,0.00546448087431694,0.04466501240694789,0.051490514905149054,0.015841584158415842,0.012096774193548387,0.0,0.1,0.09,0.1,0.08,0.07,0.07,0.02,0.18,0.02,0.14,0.1,0.05,,,,,,1.11,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,true,true,true,true,true,true,Lesion 05z06 Day 033 AA,Lesion 05z06 Day 046 AA,Lesion 05z06 Day 060 AA,Lesion 05z06 Day 074 AA,Lesion 05z06 Day 088 AA,Lesion 05z06 Day 102 AA,0.47827277,9.396173,4,hot
PZA+RIF,BN05,7,-415.6,-175.54,-158.22,-178.82,-144.78,-213.28,-427.0,-115.0,-113.0,-123.0,-93.0,-198.0,110.61,157.4,162.11,159.13,181.05,168.54,0.77,1.89,2.02,0.89,1.1,0.89,0.7,1.54,1.87,0.81,0.85,0.85,0.29,1.1,1.02,0.49,0.71,0.26,1.62,4.66,4.44,3.1,3.62,1.48,0.0,0.07,0.11,0.01,0.02,0.0,0.0,0.07,0.11,0.01,0.02,0.0,0.0,0.06,0.08,0.0,0.01,0.0,0.05,0.25,0.34,0.1,0.11,0.08,0.05,0.25,0.34,0.1,0.11,0.08,0.0,0.015021459227467813,0.02477477477477477,0.0032258064516129032,0.0055248618784530384,0.0,0.06,0.05,0.06,0.05,0.05,0.05,0.0,0.08,0.0,0.06,0.06,0.04,,,,,,0.78,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,false,false,false,false,false,false,Lesion 07 Day 033 AA,Lesion 07 Day 046 AA,Lesion 07 Day 060 AA,Lesion 07 Day 074 AA,Lesion 07 Day 088 AA,Lesion 07 Day 102 AA,4.0826354,10.401352,4,hot
PZA+RIF,BN05,8,-170.89,-87.17,-61.45,-86.85,-80.58,-146.99,-128.0,-20.0,-6.0,-26.0,20.0,-84.0,177.78,160.8,145.24,164.54,203.04,200.44,1.13,2.71,2.43,2.04,1.4,0.61,0.99,2.3,2.1,1.61,1.11,0.59,0.49,1.39,1.16,1.28,0.74,0.12,2.99,6.02,5.31,7.24,4.83,1.06,0.04,0.3,0.36,0.19,0.08,0.0,0.04,0.3,0.36,0.19,0.08,0.0,0.02,0.23,0.26,0.15,0.05,0.0,0.24,1.07,1.18,0.77,0.37,0.11,0.24,1.07,1.18,0.77,0.37,0.11,0.013377926421404682,0.04983388704318937,0.06779661016949153,0.026243093922651933,0.016563146997929608,0.0,0.1,0.1,0.1,0.09,0.08,0.07,0.12,0.29,0.12,0.28,0.2,0.1,,,,,,1.18,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,true,true,true,true,true,true,Lesion 08z09 Day 033 AA,Lesion 08z09 Day 046 AA,Lesion 08z09 Day 060 AA,Lesion 08z09 Day 074 AA,Lesion 08z09 Day 088 AA,Lesion 08z09 Day 102 AA,-1.2543817,7.9270935,0,hot
PZA+RIF,BN05,10,-299.33,-193.75,-243.79,-228.52,-222.44,-283.9,-311.0,-166.0,-241.0,-201.0,-190.0,-288.0,145.99,173.85,171.18,168.26,181.03,164.55,0.78,1.0,0.99,0.75,0.71,0.5,0.79,0.9,0.95,0.73,0.7,0.49,0.07,0.3,0.21,0.11,0.08,0.05,1.0,1.88,1.57,1.11,0.94,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.01,0.0,0.01,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,,,,,,0.48,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,false,false,false,false,false,false,Lesion 10 Day 033 AA,Lesion 10 Day 046 AA,Lesion 10 Day 060 AA,Lesion 10 Day 074 AA,Lesion 10 Day 088 AA,Lesion 10 Day 102 AA,5.266298,6.8276405,9,cool
PZA+RIF,BN05,11,-103.82,-85.66,-94.73,-194.39,-172.36,-181.78,-75.0,-20.0,-32.0,-158.0,-150.0,-146.0,141.04,161.43,155.8,190.73,193.19,191.48,1.31,2.57,1.98,1.3,1.06,0.92,1.21,2.24,1.76,1.11,0.94,0.88,0.52,1.38,1.2,0.71,0.47,0.32,3.03,6.36,5.29,3.67,2.43,1.82,0.07,0.16,0.15,0.05,0.03,0.01,0.07,0.16,0.15,0.05,0.03,0.01,0.02,0.12,0.11,0.03,0.01,0.0,0.3,0.57,0.52,0.2,0.16,0.12,0.3,0.57,0.52,0.2,0.16,0.12,0.023102310231023104,0.025157232704402514,0.02835538752362949,0.013623978201634879,0.012345679012345678,0.005494505494505494,0.07,0.06,0.07,0.08,0.08,0.06,0.15,0.16,0.15,0.08,0.08,0.06,,,,,,0.78,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,false,false,false,false,false,false,Lesion 11 Day 033 AA,Lesion 11 Day 046 AA,Lesion 11 Day 060 AA,Lesion 11 Day 074 AA,Lesion 11 Day 088 AA,Lesion 11 Day 102 AA,0.76031333,8.43943,2,hot
PZA+RIF,BN05,12,-336.73,-179.41,-190.5,-247.54,-231.28,-263.22,-352.0,-152.0,-166.0,-236.0,-236.0,-283.0,126.36,151.07,171.61,168.81,179.78,186.58,0.69,1.31,1.28,0.62,0.54,0.44,0.58,1.02,1.04,0.5,0.47,0.43,0.3,0.82,0.82,0.33,0.22,0.12,1.55,3.65,3.76,2.29,1.57,0.73,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.03,0.11,0.13,0.04,0.03,0.02,0.03,0.11,0.13,0.04,0.03,0.02,0.0,0.00821917808219178,0.007978723404255319,0.0,0.0,0.0,0.04,0.04,0.04,0.04,0.03,0.03,0.0,0.04,0.0,0.02,0.02,0.01,,,,,,0.96,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,false,false,false,false,false,false,Lesion 12 Day 033 AA,Lesion 12 Day 046 AA,Lesion 12 Day 060 AA,Lesion 12 Day 074 AA,Lesion 12 Day 088 AA,Lesion 12 Day 102 AA,5.9128947,9.581696,3,cool
PZA+RIF,BN05,13,-333.05,-225.68,-261.22,-247.23,-199.62,-287.87,-335.0,-188.0,-257.0,-237.0,-190.0,-287.0,119.18,170.32,158.31,179.54,192.09,188.63,0.71,1.21,0.92,0.47,0.45,0.42,0.64,0.99,0.69,0.38,0.43,0.43,0.27,0.68,0.6,0.22,0.13,0.12,1.32,3.0,2.53,1.67,0.84,0.66,0.0,0.04,0.03,0.0,0.0,0.0,0.0,0.04,0.03,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.05,0.15,0.12,0.03,0.02,0.02,0.05,0.15,0.12,0.03,0.02,0.02,0.0,0.012903225806451613,0.011857707509881424,0.0,0.0,0.0,0.06,0.08,0.06,0.05,0.03,0.04,0.0,0.06,0.0,0.03,0.02,0.01,,,,,,1.08,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,false,false,false,false,false,false,Lesion 13 Day 033 AA,Lesion 13 Day 046 AA,Lesion 13 Day 060 AA,Lesion 13 Day 074 AA,Lesion 13 Day 088 AA,Lesion 13 Day 102 AA,6.748965,7.71706,3,cool
PZA+RIF,BN05,14,-391.29,-156.74,-293.46,-302.24,-247.65,-287.03,-398.0,-109.0,-299.0,-305.0,-249.0,-292.0,93.03,151.6,149.41,167.01,194.09,157.27,0.78,1.78,1.17,0.53,0.63,0.66,0.76,1.58,0.96,0.51,0.6,0.61,0.21,0.87,0.65,0.11,0.15,0.2,1.3,4.22,3.07,0.97,1.14,1.17,0.0,0.11,0.05,0.0,0.0,0.0,0.0,0.11,0.05,0.0,0.0,0.0,0.0,0.07,0.03,0.0,0.0,0.0,0.1,0.37,0.22,0.07,0.07,0.07,0.1,0.37,0.22,0.07,0.07,0.07,0.0,0.026066350710900476,0.016286644951140065,0.0,0.0,0.0,0.12,0.08,0.12,0.1,0.07,0.08,0.0,0.12,0.0,0.03,0.04,0.02,,,,,,0.78,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,true,true,true,true,true,true,Lesion 14z14b Day 033 AA,Lesion 14z14b Day 046 AA,Lesion 14z14b Day 060 AA,Lesion 14z14b Day 074 AA,Lesion 14z14b Day 088 AA,Lesion 14z14b Day 102 AA,2.8030937,10.733232,4,hot
PZA+RIF,BN05,16,-286.8,-111.02,-199.36,-202.21,-142.33,-251.72,-295.0,-78.0,-179.0,-159.0,-82.0,-245.0,123.79,128.86,164.09,176.25,171.48,168.55,0.92,2.19,1.61,0.45,0.71,0.65,0.81,2.15,1.33,0.41,0.68,0.61,0.38,0.96,1.08,0.16,0.29,0.22,2.17,4.69,4.32,1.16,1.87,1.17,0.01,0.12,0.07,0.0,0.0,0.0,0.01,0.12,0.07,0.0,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.1,0.37,0.26,0.05,0.07,0.06,0.1,0.37,0.26,0.05,0.07,0.06,0.004608294930875576,0.025586353944562896,0.016203703703703703,0.0,0.0,0.0,0.1,0.04,0.1,0.06,0.04,0.06,0.02,0.13,0.02,0.06,0.06,0.03,,,,,,0.78,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,false,false,false,false,false,false,Lesion 16 Day 033 AA,Lesion 16 Day 046 AA,Lesion 16 Day 060 AA,Lesion 16 Day 074 AA,Lesion 16 Day 088 AA,Lesion 16 Day 102 AA,1.0720392,11.121208,4,hot
EMB+MOX+PZA+RIF,BN12,1,-147.7,-28.41,-62.61,-45.08,-48.28,-56.68,-102.0,7.0,2.0,-1.0,-2.0,-6.0,151.96,112.17,153.68,131.07,127.99,130.43,2.04,4.66,4.65,3.34,1.91,2.55,1.9,4.82,4.3,3.13,1.91,2.49,0.76,1.75,2.2,1.42,0.61,0.9,4.2,9.34,11.11,7.06,3.52,5.05,0.07,0.18,0.2,0.18,0.17,0.19,0.07,0.18,0.2,0.18,0.17,0.19,0.04,0.17,0.18,0.16,0.12,0.15,0.2,0.86,0.96,0.67,0.48,0.57,0.2,0.86,0.95,0.67,0.48,0.56,0.016666666666666666,0.019271948608137045,0.018001800180018002,0.025495750708215296,0.04829545454545455,0.03762376237623762,0.04,0.02,0.04,0.03,0.04,0.04,0.06,0.16,0.16,0.17,0.21,0.18,,,,,,0.84,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,true,true,true,true,true,true,Lesion 01z03 Day 032 FG,Lesion 01z03 Day 047 AA,Lesion 01z03 Day 059 AA,Lesion 01z03 Day 074 AA,Lesion 01z03 Day 086 AA,Lesion 01z03 Day 100 AA,-0.19868948,7.7021055,2,hot
EMB+MOX+PZA+RIF,BN12,2,-409.6,-363.02,-323.96,-296.02,-256.12,-203.82,-427.0,-380.0,-345.0,-288.0,-246.0,-189.0,74.77,138.82,131.82,163.55,166.92,146.26,0.41,0.75,0.9,1.03,0.76,1.13,0.41,0.74,0.92,1.01,0.76,1.15,0.02,0.07,0.11,0.19,0.15,0.16,0.47,0.88,1.09,1.43,1.1,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.0,0.0,0.0,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.01,,,,,,0.48,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,false,false,false,false,false,false,Lesion 02 Day 032 AA,Lesion 02 Day 047 AA,Lesion 02 Day 059 AA,Lesion 02 Day 074 AA,Lesion 02 Day 086 AA,Lesion 02 Day 100 AA,10.343619,6.384266,7,cool
EMB+MOX+PZA+RIF,BN12,4,-483.44,-438.9,-325.46,-297.2,-215.81,-223.39,-495.0,-443.0,-346.0,-312.0,-201.0,-222.0,62.34,87.23,125.72,149.28,149.26,148.58,0.37,0.58,0.79,0.87,0.62,0.81,0.37,0.57,0.81,0.87,0.61,0.77,0.02,0.06,0.1,0.11,0.16,0.16,0.42,0.7,0.94,1.09,0.97,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,,,,,,0.48,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,false,false,false,false,false,false,Lesion 04 Day 032 AA,Lesion 04 Day 047 AA,Lesion 04 Day 059 AA,Lesion 04 Day 074 AA,Lesion 04 Day 086 AA,Lesion 04 Day 100 AA,12.074822,7.858515,7,cool
EMB+MOX+PZA+RIF,BN12,5,-167.22,-130.26,-92.29,-129.14,-105.59,-102.11,-127.0,-83.0,-44.0,-62.0,-52.0,-38.0,139.81,157.59,130.22,153.93,144.49,148.4,2.32,2.79,4.23,2.59,1.6,1.86,2.19,2.19,3.93,2.29,1.41,1.67,1.27,1.82,1.8,1.34,0.74,0.91,6.46,9.22,9.95,6.23,4.35,5.52,0.13,0.57,0.41,0.31,0.26,0.46,0.13,0.57,0.41,0.31,0.26,0.46,0.1,0.46,0.39,0.25,0.15,0.29,0.43,2.36,1.74,1.07,0.97,1.42,0.43,2.34,1.74,1.06,0.97,1.42,0.020123839009287926,0.061822125813449015,0.04120603015075377,0.04975922953451043,0.06233766233766233,0.08333333333333334,0.08,0.31,0.1,0.12,0.2,0.18,0.1,0.53,0.3,0.28,0.43,0.58,,,,,,0.84,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,true,true,true,true,true,true,Lesion 05z07 Day 032 AA,Lesion 05z07 Day 047 AA,Lesion 05z07 Day 059 AA,Lesion 05z07 Day 074 AA,Lesion 05z07 Day 086 AA,Lesion 05z07 Day 100 AA,-4.615907,7.898083,5,hot
EMB+MOX+PZA+RIF,BN12,6,-175.49,-131.42,-75.01,-92.42,-89.85,-67.18,-139.0,-76.0,-27.0,-26.0,-25.0,-20.0,157.65,152.26,134.86,157.39,150.49,126.81,1.07,4.04,4.64,2.72,1.51,1.88,0.91,3.73,4.55,2.54,1.55,1.96,0.5,1.97,1.91,1.19,0.61,0.68,2.5,9.39,9.24,6.08,2.52,3.55,0.01,0.1,0.09,0.12,0.1,0.14,0.01,0.1,0.09,0.12,0.1,0.14,0.0,0.09,0.08,0.1,0.05,0.1,0.04,0.44,0.42,0.4,0.29,0.38,0.04,0.44,0.42,0.39,0.28,0.38,0.004,0.010649627263045794,0.00974025974025974,0.019736842105263157,0.03968253968253969,0.03943661971830986,0.02,0.04,0.02,0.04,0.04,0.04,0.02,0.07,0.07,0.1,0.15,0.16,,,,,,0.48,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,false,false,false,false,false,false,Lesion 06 Day 032 AA,Lesion 06 Day 047 AA,Lesion 06 Day 059 AA,Lesion 06 Day 074 AA,Lesion 06 Day 086 AA,Lesion 06 Day 100 AA,0.39057133,6.553527,2,hot
EMB+MOX+PZA+RIF,BN12,8,-462.19,-403.57,-301.83,-225.12,-220.31,-174.68,-474.0,-402.0,-312.0,-203.0,-189.0,-146.0,91.5,84.51,153.16,158.78,167.54,137.6,0.33,1.06,1.53,1.11,0.64,0.74,0.33,1.1,1.49,1.07,0.62,0.74,0.03,0.29,0.59,0.26,0.23,0.21,0.39,1.58,2.92,1.82,1.1,1.19,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.02,0.02,0.03,0.0,0.01,0.02,0.02,0.02,0.03,0.0,0.0,0.0034246575342465756,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.0,0.0,0.0,0.01,0.02,0.02,,,,,,0.48,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,false,false,false,false,false,false,Lesion 08 Day 032 AA,Lesion 08 Day 047 AA,Lesion 08 Day 059 AA,Lesion 08 Day 074 AA,Lesion 08 Day 086 AA,Lesion 08 Day 100 AA,12.347118,7.5637913,7,cool
EMB+MOX+PZA+RIF,BN12,9,-271.6,-247.41,-212.18,-124.1,-93.34,-111.37,-283.0,-246.0,-194.0,-61.0,-31.0,-47.0,141.09,135.95,180.74,154.21,149.29,148.99,1.14,2.43,1.68,2.14,1.27,1.6,1.06,2.08,1.52,2.02,1.28,1.59,0.32,1.26,0.75,0.78,0.4,0.37,1.93,5.7,3.61,4.48,2.11,2.42,0.0,0.03,0.02,0.04,0.02,0.05,0.0,0.03,0.02,0.04,0.02,0.05,0.0,0.02,0.01,0.03,0.0,0.01,0.01,0.09,0.06,0.11,0.09,0.14,0.01,0.09,0.06,0.11,0.09,0.14,0.0,0.005263157894736842,0.00554016620498615,0.008928571428571428,0.009478672985781991,0.02066115702479339,0.01,0.03,0.02,0.02,0.02,0.03,0.0,0.01,0.02,0.03,0.05,0.06,,,,,,0.48,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,false,false,false,false,false,false,Lesion 09 Day 032 AA,Lesion 09 Day 047 AA,Lesion 09 Day 059 AA,Lesion 09 Day 074 AA,Lesion 09 Day 086 AA,Lesion 09 Day 100 AA,3.0201907,5.5257306,10,cool
