feature,CFU_p,radiodensity (HU)_p,stdev radiodensity (HU)_p,soft volume (mL)_p,hard volume (mL)_p,PET activity (SUV)_p,∆ radiodensity (HU)_p,∆ stdev radiodensity (HU)_p,∆ soft volume (mL)_p,∆ hard volume (mL)_p,∆ PET activity (SUV)_p,CFU_p2,radiodensity (HU)_p2,stdev radiodensity (HU)_p2,soft volume (mL)_p2,hard volume (mL)_p2,PET activity (SUV)_p2,∆ radiodensity (HU)_p2,∆ stdev radiodensity (HU)_p2,∆ soft volume (mL)_p2,∆ hard volume (mL)_p2,∆ PET activity (SUV)_p2
FIC90 dormancy (terminal),0.58,0.88,0.79,0.17,0.50,0.11,0.24,0.43,0.10,0.17,0.36,0.58,0.62,0.98,0.70,0.03,0.06,0.88,0.58,0.04,0.27,0.79
FIC90 standard  (constant)-terminal),0.75,0.75,0.33,0.33,0.75,0.33,0.75,0.33,0.08,0.33,0.33,0.75,0.75,0.75,0.42,0.08,0.75,0.42,0.33,0.75,0.08,0.42
FIC90 valerate (constant),0.66,0.03,0.10,0.10,0.10,0.42,0.06,0.18,1.00,0.36,0.10,0.71,0.80,0.36,0.80,0.71,0.30,0.50,1.00,0.80,1.00,1.00
FIC90 valerate (terminal),0.78,0.27,0.59,0.91,0.66,0.78,0.07,0.66,0.71,0.78,0.24,0.96,0.91,0.44,0.44,0.56,0.11,0.56,0.71,0.71,0.56,0.78
GRinf acidic (constant),0.41,0.91,0.78,0.21,0.64,0.34,0.18,0.49,0.46,0.04,0.95,0.41,0.61,0.41,0.49,0.08,0.68,0.98,0.58,0.06,0.25,0.55
GRinf acidic (terminal),0.46,0.18,0.27,0.01,0.06,0.61,0.91,0.11,0.44,0.68,0.88,0.71,0.52,0.84,0.81,0.52,0.46,0.27,0.64,0.95,0.91,0.23
GRinf butyrate (constant),0.09,0.37,0.78,0.96,0.87,0.54,0.15,0.37,0.90,0.37,0.38,0.25,0.46,0.97,0.46,0.92,0.42,0.26,0.59,0.70,0.22,0.92
GRinf butyrate (terminal),0.20,0.19,0.31,0.54,0.38,0.32,0.12,0.35,0.47,0.18,0.56,0.42,0.20,0.23,0.24,0.94,0.10,0.13,0.16,0.38,0.39,0.65
GRinf cholesterol (constant),0.39,0.53,0.31,0.34,0.80,0.98,0.61,0.88,0.54,0.28,0.07,0.35,0.80,0.19,0.40,0.59,0.35,0.96,0.59,0.63,0.91,0.78
GRinf cholesterol (terminal),0.29,0.60,0.42,0.17,0.96,0.89,0.64,0.67,0.96,0.48,0.05,0.23,0.42,0.32,0.54,0.51,0.89,0.31,0.87,0.72,0.59,0.73
GRinf dormancy (constant),0.65,0.58,0.47,0.96,0.63,0.58,0.38,0.91,0.88,0.93,0.88,0.68,0.68,0.26,0.38,0.88,0.45,0.99,0.07,0.20,0.26,0.09
GRinf dormancy (terminal),0.19,0.43,0.53,0.38,0.83,0.53,0.51,0.38,0.29,0.78,0.68,0.15,0.96,0.45,0.17,0.05,0.83,0.29,0.45,0.33,0.63,0.68
GRinf standard  (constant)-terminal),0.38,0.13,0.14,0.96,0.68,0.43,0.00,0.38,0.53,0.00,0.85,0.68,0.29,0.11,0.02,0.73,0.14,0.17,0.13,0.09,0.10,0.73
GRinf valerate (constant),0.41,0.21,0.25,0.95,0.44,0.58,0.04,0.16,0.58,0.00,0.81,0.81,0.29,0.11,0.03,0.95,0.31,0.12,0.23,0.27,0.06,1.00
GRinf valerate (terminal),0.17,0.07,0.05,0.78,0.80,0.45,0.00,0.49,0.88,0.29,0.78,0.21,0.63,0.21,0.12,0.88,0.08,0.23,0.35,0.51,0.28,0.91
PK_cas AUC25 butyrate (constant),0.64,0.58,0.81,0.27,0.49,0.81,0.58,0.64,0.78,0.64,0.74,0.46,0.41,0.27,0.64,0.81,0.81,0.39,0.88,0.34,0.98,0.21
