feature,CFU,radiodensity (HU),stdev radiodensity (HU),soft volume (mL),hard volume (mL),PET activity (SUV),∆ radiodensity (HU),∆ stdev radiodensity (HU),∆ soft volume (mL),∆ hard volume (mL),∆ PET activity (SUV),CFU2,radiodensity (HU)2,stdev radiodensity (HU)2,soft volume (mL)2,hard volume (mL)2,PET activity (SUV)2,∆ radiodensity (HU)2,∆ stdev radiodensity (HU)2,∆ soft volume (mL)2,∆ hard volume (mL)2,∆ PET activity (SUV)2
cholesterolFIC90T,0.00,-0.20,-0.36,0.15,-0.09,-0.27,-0.36,0.15,-0.17,-0.54,0.02,-0.01,-0.18,-0.66,0.42,-0.24,-0.42,-0.17,-0.29,-0.43,-0.24,-0.01
dormancyFIC90C,0.79,-0.07,0.07,-0.21,-0.21,0.18,0.11,0.25,0.29,0.36,0.54,0.64,-0.04,0.36,0.11,0.18,0.86,0.25,-0.14,0.14,0.50,0.14
dormancyFIC90T,0.24,-0.07,0.12,-0.55,-0.29,0.62,0.48,-0.33,0.64,0.55,0.38,0.24,0.21,0.02,0.17,0.79,0.71,0.07,-0.24,0.76,0.45,-0.12
standardFIC90CT,0.40,-0.40,-0.80,-0.80,-0.40,0.80,0.40,-0.80,1.00,0.80,0.80,0.40,0.40,-0.40,0.60,1.00,0.40,0.60,-0.80,0.40,1.00,0.60
valerateFIC90C,-0.26,0.89,0.77,0.77,0.77,0.43,0.83,0.66,-0.03,-0.49,-0.77,-0.20,0.14,-0.49,-0.14,-0.20,-0.54,0.37,-0.03,-0.14,-0.03,0.03
valerateFIC90T,-0.14,0.50,0.25,-0.07,0.21,0.14,0.75,0.21,-0.18,0.14,-0.54,-0.04,-0.07,-0.36,-0.36,-0.29,-0.68,0.29,-0.18,-0.18,0.29,-0.14
acidicGRinfC,-0.32,0.05,0.12,-0.47,-0.18,0.37,0.50,-0.27,0.28,0.70,0.03,-0.32,0.20,0.32,-0.27,0.63,0.17,-0.02,0.22,0.67,0.43,-0.23
acidicGRinfT,-0.28,-0.50,-0.42,-0.82,-0.67,-0.20,-0.05,-0.58,-0.30,0.17,0.07,-0.15,-0.25,-0.08,0.10,0.25,-0.28,-0.42,-0.18,0.03,0.05,-0.45
butyrateGRinfC,0.51,0.29,0.09,-0.02,0.06,0.20,0.45,0.29,0.04,0.29,0.28,0.36,0.24,0.01,-0.24,-0.03,0.26,0.36,0.17,0.13,0.38,0.03
butyrateGRinfT,0.40,0.41,0.32,0.20,0.28,0.31,0.48,0.29,0.23,0.42,0.19,0.26,0.40,0.38,-0.37,0.03,0.50,0.46,0.43,0.28,0.27,0.15
cholesterolGRinfC,0.27,0.20,-0.32,0.30,-0.08,0.01,0.16,0.05,-0.20,-0.34,0.55,0.30,0.08,-0.41,0.27,-0.18,-0.30,-0.02,0.17,0.15,0.04,-0.09
cholesterolGRinfT,0.34,0.17,-0.26,0.43,0.02,0.05,0.15,0.14,-0.02,-0.22,0.59,0.38,0.26,-0.31,0.20,-0.21,-0.05,0.32,0.06,0.12,0.17,0.11
dormancyGRinfC,0.16,0.20,0.26,0.02,-0.18,-0.20,0.31,-0.04,-0.05,0.03,-0.05,0.15,0.15,0.39,-0.31,0.05,0.27,0.01,0.59,0.44,-0.39,-0.56
dormancyGRinfT,0.45,0.28,0.22,0.31,0.08,-0.22,0.24,0.31,-0.37,0.10,-0.15,0.49,-0.02,0.27,-0.47,-0.62,0.08,0.37,0.27,-0.35,0.18,0.15
standardGRinfCT,0.31,0.52,0.50,-0.02,0.15,0.28,0.83,0.31,0.22,0.83,0.07,0.15,0.37,0.54,-0.71,0.13,0.50,0.47,0.52,0.56,0.55,-0.13
valerateGRinfC,0.32,0.47,0.43,0.03,0.30,0.22,0.70,0.52,0.22,0.90,0.10,0.10,0.40,0.58,-0.73,-0.03,0.38,0.57,0.45,0.42,0.67,0.00
valerateGRinfT,0.47,0.60,0.62,0.10,0.09,0.27,0.84,0.25,0.05,0.37,-0.10,0.43,0.18,0.43,-0.53,0.05,0.58,0.42,0.33,0.24,0.38,-0.04
PKcasbutyrateAUC25C,-0.18,0.22,-0.10,0.42,0.27,0.10,0.22,0.18,-0.12,-0.18,0.13,-0.28,0.32,-0.42,0.18,-0.10,0.10,0.33,-0.07,-0.37,-0.02,0.47
PKcasbutyrateAUC25T,-0.20,0.07,-0.08,0.27,0.25,0.05,0.20,0.13,0.03,0.03,0.15,-0.30,0.53,-0.30,0.07,-0.02,0.30,0.55,0.00,-0.37,0.00,0.40
PKcascholesterolAUC25C,0.52,0.45,0.10,-0.14,-0.31,-0.07,0.69,0.31,-0.31,0.05,-0.05,0.62,-0.26,-0.21,-0.36,-0.33,-0.64,-0.14,-0.26,0.14,0.57,-0.52
PKcascholesterolAUC25T,0.18,0.47,0.22,0.13,-0.07,0.00,0.30,0.22,-0.38,-0.43,-0.40,0.38,-0.58,-0.25,-0.03,-0.35,-0.77,-0.47,-0.35,-0.03,0.10,-0.28
PKcasdormancyAUC25C,0.87,0.00,-0.15,-0.13,-0.55,-0.38,0.00,0.33,-0.52,-0.28,0.23,0.87,-0.53,0.02,-0.03,-0.53,-0.23,-0.28,-0.03,-0.05,0.13,-0.37
PKcasdormancyAUC25T,-0.37,-0.12,-0.08,-0.13,0.07,-0.50,0.13,0.17,-0.27,0.25,-0.22,-0.50,0.52,-0.13,-0.40,-0.27,-0.08,0.35,0.38,-0.22,-0.25,-0.40
PKcasbutyrateGRinfC,-0.15,-0.05,-0.18,-0.03,0.17,0.32,0.30,-0.12,0.58,0.75,0.52,-0.18,0.82,0.15,-0.20,0.45,0.38,0.68,0.22,0.70,0.53,0.07
PKcasbutyrateGRinfT,-0.12,0.00,-0.17,0.03,0.20,0.40,0.35,-0.10,0.62,0.70,0.55,-0.13,0.83,0.08,-0.13,0.47,0.43,0.75,0.12,0.62,0.58,0.20
PKcascholesterolGRinfC,-0.03,-0.14,-0.52,0.35,-0.30,-0.22,-0.44,-0.19,-0.35,-0.87,0.14,0.11,-0.44,-0.55,0.65,-0.19,-0.25,-0.44,-0.33,-0.30,-0.41,0.11
PKcascholesterolGRinfT,0.15,-0.24,-0.47,0.22,-0.37,-0.16,-0.47,-0.18,-0.31,-0.84,0.29,0.18,-0.44,-0.46,0.75,-0.11,-0.11,-0.44,-0.31,-0.31,-0.35,0.16
PKcasdormancyGRinfC,-0.30,0.28,0.48,0.33,0.37,0.17,0.13,0.00,0.30,-0.08,-0.55,0.00,0.08,0.13,-0.08,0.05,-0.13,0.10,-0.17,0.02,-0.13,-0.10
PKcasdormancyGRinfT,0.48,0.30,0.38,0.27,0.00,-0.25,0.18,0.47,-0.20,-0.12,-0.27,0.63,-0.18,0.30,-0.30,-0.52,-0.13,0.05,0.10,-0.05,-0.03,-0.35
PKcellbutyrateAUC25C,-0.15,0.07,-0.38,0.22,0.12,0.38,0.23,-0.10,0.20,0.05,0.57,-0.23,0.45,-0.47,0.33,0.30,0.20,0.40,-0.20,0.08,0.37,0.55
PKcellbutyrateAUC25T,-0.17,0.08,-0.33,0.23,0.15,0.25,0.37,0.00,0.25,0.23,0.52,-0.20,0.72,-0.38,0.12,0.22,0.20,0.65,-0.07,0.20,0.40,0.30
PKcellcholesterolAUC25C,-0.12,-0.33,-0.79,-0.07,-0.45,0.52,-0.24,-0.71,0.26,-0.38,0.67,0.05,-0.17,-0.69,0.79,0.64,-0.14,-0.29,-0.71,0.43,0.36,0.31
PKcellcholesterolAUC25T,0.10,0.62,0.00,0.47,0.30,0.60,0.75,0.22,0.30,0.25,0.40,0.22,0.40,-0.23,-0.03,0.15,-0.15,0.47,-0.22,0.60,0.80,0.28
PKcelldormancyAUC25C,-0.33,0.00,0.00,-0.53,-0.05,-0.07,0.30,-0.10,-0.13,0.30,-0.32,-0.37,0.08,-0.27,-0.35,0.07,-0.42,-0.03,-0.10,-0.05,0.17,-0.32
PKcelldormancyAUC25T,0.35,0.15,0.22,-0.43,-0.07,-0.17,0.38,0.37,-0.23,0.60,-0.08,0.17,-0.02,0.33,-0.72,-0.27,-0.10,0.08,0.35,0.15,0.35,-0.33
PKcellbutyrateGRinfC,-0.12,0.00,-0.17,0.03,0.20,0.40,0.35,-0.10,0.62,0.70,0.55,-0.13,0.83,0.08,-0.13,0.47,0.43,0.75,0.12,0.62,0.58,0.20
